term,subject,landing_topic,concept_hint,status,source_batch
Masking sound,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Sound that covers/reduces audibility of another sound; relevant to offices, privacy, nuisance disputes.",NEW,NOISELAW_2026_08_02
Residual acoustic environment,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Baseline sound environment without the proposed/assessed source.,NEW,NOISELAW_2026_08_02
Representative measurement period,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Time period selected as typical of the noise condition.,NEW,NOISELAW_2026_08_02
Worst-case operating condition,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Measurement/prediction condition using maximum expected source output.,NEW,NOISELAW_2026_08_02
Meteorological correction,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Adjustment for wind, temperature gradient, humidity, and propagation conditions.",NEW,NOISELAW_2026_08_02
Downwind propagation condition,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Measurement/prediction assumption where sound travels more efficiently toward receivers.,NEW,NOISELAW_2026_08_02
Temperature inversion,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Atmospheric condition increasing long-distance sound propagation, especially at night.",NEW,NOISELAW_2026_08_02
Ground attenuation,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Propagation loss from ground absorption/reflection.,NEW,NOISELAW_2026_08_02
Barrier insertion loss,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Reduction caused by an acoustic barrier; used in transportation/industrial mitigation.,NEW,NOISELAW_2026_08_02
Source-path-receiver model,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Basic noise-control framework: reduce the source, interrupt the path, protect the receiver.",NEW,NOISELAW_2026_08_02
Best practicable environmental option (BPEO),"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Planning/environmental concept comparing mitigation alternatives.,NEW,NOISELAW_2026_08_02
Noise mitigation hierarchy,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Control hierarchy: eliminate/reduce at source, engineering controls, administrative controls, PPE.",NEW,NOISELAW_2026_08_02
Administrative noise control,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Scheduling, rotation, restricted hours, curfew, or operational procedures.",NEW,NOISELAW_2026_08_02
Engineering noise control,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Physical controls: enclosures, barriers, silencers, damping, isolation, directional arrays.",NEW,NOISELAW_2026_08_02
Personal hearing protection,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Earplugs/earmuffs; last-line control for workers, often supplementary for audiences.",NEW,NOISELAW_2026_08_02
Hearing protection zone,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Workplace area where hearing protection is mandatory.,NEW,NOISELAW_2026_08_02
Attenuation derating,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Reducing published hearing-protector NRR/SNR values for real-world performance.,NEW,NOISELAW_2026_08_02
Single Number Rating (SNR),"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",European hearing-protector attenuation rating.,NEW,NOISELAW_2026_08_02
HML method,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Hearing-protector rating method using High, Medium, Low frequency attenuation values.",NEW,NOISELAW_2026_08_02
Personal noise dosimeter,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Wearable meter calculating dose/exposure.,NEW,NOISELAW_2026_08_02
Dosimetry exchange criterion,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Rule for how exposure time changes with level.,NEW,NOISELAW_2026_08_02
Criterion duration,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Reference exposure time, often 8 hours.",NEW,NOISELAW_2026_08_02
Projected dose,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Estimate of full-shift dose based on a partial measurement.,NEW,NOISELAW_2026_08_02
Sound exposure meter,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Meter measuring accumulated sound exposure.,NEW,NOISELAW_2026_08_02
Class 1 sound level meter,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Precision-grade meter, typically required for enforcement or consultant reports.",NEW,NOISELAW_2026_08_02
Class 2 sound level meter,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",General-purpose meter; may be acceptable for screening or some compliance tasks.,NEW,NOISELAW_2026_08_02
Field calibration check,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",On-site pre/post-measurement calibration verification.,NEW,NOISELAW_2026_08_02
Traceable calibration,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Calibration linked to recognized national/international standards.,NEW,NOISELAW_2026_08_02
Compliance margin,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Difference between measured/predicted level and the limit.,NEW,NOISELAW_2026_08_02
Uncertainty allowance,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",How measurement uncertainty is handled when determining compliance.,NEW,NOISELAW_2026_08_02
Exceedance percentile,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Percent of time a limit is exceeded.,NEW,NOISELAW_2026_08_02
Rolling LAeq,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Continuously updated LAeq over a moving time window; useful in concert monitoring.,NEW,NOISELAW_2026_08_02
Sliding-window limit,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Limit applied to every rolling time window rather than only fixed clock periods.,NEW,NOISELAW_2026_08_02
Fixed-interval limit,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Limit assessed over fixed windows (each 15-minute or 1-hour period).,NEW,NOISELAW_2026_08_02
Noise log,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Written/digital record of measurements, complaints, operating conditions, and corrective actions.",NEW,NOISELAW_2026_08_02
Complaint trigger level,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Operational level/condition that prompts investigation after a community complaint.,NEW,NOISELAW_2026_08_02
Hotline protocol,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Event/venue procedure for receiving and responding to noise complaints.,NEW,NOISELAW_2026_08_02
Corrective action log,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Record of steps taken after exceedances or complaints.,NEW,NOISELAW_2026_08_02
OSHA noise standard,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",U.S. OSHA occupational-noise rule (90 dBA 8-hour TWA PEL; 85 dBA action level).,NEW,NOISELAW_2026_08_02
ANSI sound level meter,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",U.S. ANSI sound-level-meter specification referenced in American compliance work.,NEW,NOISELAW_2026_08_02
FHWA traffic noise,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",U.S. Federal Highway Administration highway/traffic-noise assessment framework.,NEW,NOISELAW_2026_08_02
FAA aircraft noise,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",U.S. Federal Aviation Administration aircraft-noise assessment framework.,NEW,NOISELAW_2026_08_02
NEPA noise assessment,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",U.S. National Environmental Policy Act noise-impact assessment context.,NEW,NOISELAW_2026_08_02
Environmental Noise Directive,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments","EU directive requiring strategic noise maps and action plans; uses Lden/Lnight, agglomeration, major road/railway/airport, quiet area.",NEW,NOISELAW_2026_08_02
Directive 2003/10/EC,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",EU physical-agents (noise) directive; exposure action values 80/85 dB and 87 dB exposure limit value.,NEW,NOISELAW_2026_08_02
Control of Noise at Work Regulations,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",UK occupational-noise regulations; lower/upper exposure action values and exposure limit value.,NEW,NOISELAW_2026_08_02
Lower exposure action value,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",UK/EU first exposure threshold; UK HSE lists 80 dB(A) / 135 dB(C) peak.,NEW,NOISELAW_2026_08_02
Upper exposure action value,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",UK/EU second exposure threshold; UK HSE lists 85 dB(A) / 137 dB(C) peak.,NEW,NOISELAW_2026_08_02
Premises licence,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",UK entertainment/venue licence that can carry sound conditions.,NEW,NOISELAW_2026_08_02
BS 4142,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",UK standard for rating industrial/commercial sound affecting residential receivers (rating level).,NEW,NOISELAW_2026_08_02
Noise Council Code of Practice,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",UK code of practice referenced for environmental/entertainment noise.,NEW,NOISELAW_2026_08_02
Code de la sante publique,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments","French public-health code governing amplified-sound venues (lieux diffusant des sons amplifies); LAeq,15min 102 dB(A) and LCeq,15min 118 dB(C).",NEW,NOISELAW_2026_08_02
Sound Levels and Laser Ordinance,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments","Swiss ordinance regulating amplified-sound events; LAeq,1h notification threshold and event categories.",NEW,NOISELAW_2026_08_02
DIN 15905-5,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",German standard: measures to prevent audience hearing loss from electroacoustic systems; loudest-audience-area measurement.,NEW,NOISELAW_2026_08_02
TA Larm,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",German technical instruction on noise protection / immission control (TA Larm).,NEW,NOISELAW_2026_08_02
BImSchG,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",German Federal Immission Control Act (Bundes-Immissionsschutzgesetz).,NEW,NOISELAW_2026_08_02
WHS exposure standard for noise,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments","Australian Work Health and Safety exposure standard: LAeq,8h 85 dB(A) or LC,peak 140 dB(C).",NEW,NOISELAW_2026_08_02
AS/NZS 1269,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",Australian/New Zealand occupational-noise-management standard series.,NEW,NOISELAW_2026_08_02
PCBU,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",Australian WHS duty holder: Person Conducting a Business or Undertaking.,NEW,NOISELAW_2026_08_02
Liquor licence noise condition,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",Australian/NSW liquor-licence sound condition (sound-level limits may remain under licensing).,NEW,NOISELAW_2026_08_02
Vibrancy Reforms,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",NSW reforms (from 1 July 2024) changing some development-consent restrictions on live/amplified music.,NEW,NOISELAW_2026_08_02
Environmental Quality Standards for Noise,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments","Japan's environmental quality standards for noise; day/night categories, LAeq (e.g., 45 dB day / 40 dB night indoor for some residences).",NEW,NOISELAW_2026_08_02
Noise Regulation Law,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments","Japan's Noise Regulation Law covering factory, construction, and motor-vehicle noise.",NEW,NOISELAW_2026_08_02
Environmental Noise Regulations,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",Ireland/EU-state regulations implementing the Environmental Noise Directive; noise maps and action plans every five years.,NEW,NOISELAW_2026_08_02
ISO 1996,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments","International standard: description, measurement, assessment of environmental noise (basic quantities, rating levels, community response).",NEW,NOISELAW_2026_08_02
ISO 1996-1,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",ISO 1996 Part 1: basic quantities and assessment procedures.,NEW,NOISELAW_2026_08_02
ISO 1996-2,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",ISO 1996 Part 2: determination of sound pressure levels.,NEW,NOISELAW_2026_08_02
ISO 12913,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",International soundscape standard series (soundscape definition and data collection).,NEW,NOISELAW_2026_08_02
IEC 60942,"Sound Law, Noise Regulation & Compliance","Sound Law — Standards, Laws & Instruments",International standard for acoustic calibrators used to verify sound-level-meter sensitivity.,NEW,NOISELAW_2026_08_02
