term,subject,landing_topic,landing_gs,achievement_id,status,source_batch,related_parent_xref,framing_note
Speech-to-reverberation modulation energy ratio,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Normalized covariance measure,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Specific loudness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Excitation pattern,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Excitation level,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Partial loudness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Total loudness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Monaural loudness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Binaural loudness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Binaural loudness summation,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Binaural inhibition,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Spectral loudness summation,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Critical-band loudness summation,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Temporal loudness summation,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Long-term loudness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Instantaneous loudness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Peak short-term loudness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Maximum long-term loudness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Time-varying loudness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Loudness attack,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Loudness decay,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Loudness overshoot,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Loudness adaptation,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Induced loudness reduction,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Loudness enhancement,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Loudness recalibration,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Contextual loudness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Categorical loudness scaling,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Adaptive categorical loudness scaling,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Loudness-growth function,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Loudness recruitment,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Softness imperception,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Loudness discomfort level,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Uncomfortable loudness level,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Most comfortable loudness level,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Equal-loudness level difference,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Binaural level difference for equal loudness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Loudness balance,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Interaural loudness balance,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Alternate binaural loudness balance,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Loudness constancy,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Loudness assimilation,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Loudness contrast,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Zwicker loudness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Moore-Glasberg loudness model,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Dynamic loudness model,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Auditory-filter asymmetry,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Compressive cochlear gain,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Internal excitation threshold,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Soundscape appraisal,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Soundscape descriptor,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Perceived affective quality,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Soundscape pleasantness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Soundscape eventfulness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Appropriateness appraisal,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Soundscape circumplex,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Soundmark,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Keynote sound,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Sound signal,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Acoustic horizon,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Acoustic arena,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Acoustic niche,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Biophony,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Geophony,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Anthropophony,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Technophony,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Sonotope,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Acoustic diversity index,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Acoustic complexity index,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Normalized difference soundscape index,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Psychoacoustic annoyance,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Noise sensitivity,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Noise susceptibility,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Auditory comfort,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Acoustic comfort,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Acoustic quality,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Acoustic liveliness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Acoustic intimacy,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Aural diversity,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Listening effort,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Listening-related fatigue,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Auditory distraction,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Irrelevant sound effect,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Changing-state effect,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Auditory attentional capture,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Semantic auditory distraction,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Office speech distraction,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Fluctuation strength,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Roughness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Tonality prominence,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Prominence ratio,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Tone-to-noise ratio,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Low-frequency noise annoyance,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Amplitude-modulated noise annoyance,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Intermittency ratio,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Eventfulness without pleasantness,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Quietness as a positive soundscape resource,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Restorative soundscape,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Supportive soundscape,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Soundscape intervention,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
Soundscape co-creation,Loudness & Listening Environments,Loudness & Listening Environments,1470,c3f4065c-1e67-4020-80fe-782d823c24b0,to_author,SUB90_GROW_2026_08_01,,
