term,proposed_topic,source_batch
Scale-factor band,Perceptual Audio Coding (Standards),Standards list
Schroeder integration,Room & Building Acoustics (Standards),Standards list
Sensation level,Psychoacoustics & Audiology (Standards),Standards list
Sequency,General Audio & Signal Terms (Standards),Standards list
Sidelobe level,General Audio & Signal Terms (Standards),Standards list
Signal-to-mask ratio,Music Info Retrieval & Machine Listening (Standards),Standards list
Sine-sweep measurement,General Audio & Signal Terms (Standards),Standards list
Single-equivalent-level descriptor,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Sone,Psychoacoustics & Hearing (Standards),Standards list
Sound exposure level,General Audio & Signal Terms (Standards),Standards list
Sound reduction index,Room & Building Acoustics (Standards),Standards list
Source-filter model,Audio DSP & Coding Signal Terms (Standards),Standards list
Sparse coding of audio,Perceptual Audio Coding (Standards),Standards list
Spatial aliasing frequency,"Immersive, Object & Scene Audio (Standards)",Standards list
Spatial audio object coding,"Immersive, Object & Scene Audio (Standards)",Standards list
Spatial impression,"Immersive, Object & Scene Audio (Standards)",Standards list
Spatial release from masking,Psychoacoustics & Hearing (Standards),Standards list
Spectral flatness measure,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Spectral tilt,General Audio & Signal Terms (Standards),Standards list
Speech intelligibility index,"Speech, Dialogue & Enhancement (Standards)",Standards list
Speech reception threshold,Psychoacoustics & Hearing (Standards),Standards list
Stationary noise assumption,General Audio & Signal Terms (Standards),Standards list
Stereo width control,General Audio & Signal Terms (Standards),Standards list
Stimulus-onset asynchrony,Room & Building Acoustics (Standards),Standards list
Streaming loudness compliance,Broadcast Loudness & Compliance,Standards list
Sub-band coding,Perceptual Audio Coding (Standards),Standards list
Successive masking,Psychoacoustics & Hearing (Standards),Standards list
Superdirective beamforming,Music Info Retrieval & Machine Listening (Standards),Standards list
Suprathreshold,Psychoacoustics & Hearing (Standards),Standards list
Syllabic compression,General Audio & Signal Terms (Standards),Standards list
Temporal envelope cue,Music Info Retrieval & Machine Listening (Standards),Standards list
Temporal fine structure,Music Info Retrieval & Machine Listening (Standards),Standards list
Temporal masking,Psychoacoustics & Hearing (Standards),Standards list
Temporal weighting function,Music Info Retrieval & Machine Listening (Standards),Standards list
Timbre space,Psychoacoustics & Hearing (Standards),Standards list
Time-frequency masking,Psychoacoustics & Hearing (Standards),Standards list
Time-scale modification,General Audio & Signal Terms (Standards),Standards list
Tonality index,Psychoacoustics & Hearing (Standards),Standards list
Tone-to-noise ratio,General Audio & Signal Terms (Standards),Standards list
Total harmonic distortion plus noise,General Audio & Signal Terms (Standards),Standards list
Transaural reproduction,"Immersive, Object & Scene Audio (Standards)",Standards list
Transient detection,General Audio & Signal Terms (Standards),Standards list
True peak level,Broadcast Loudness & Compliance,Standards list
Two-alternative forced choice,General Audio & Signal Terms (Standards),Standards list
Variable bit-rate coding,Perceptual Audio Coding (Standards),Standards list
Vector-base amplitude panning,"Immersive, Object & Scene Audio (Standards)",Standards list
Virtual bass,General Audio & Signal Terms (Standards),Standards list
Vocoder analysis,General Audio & Signal Terms (Standards),Standards list
Wave field synthesis,"Immersive, Object & Scene Audio (Standards)",Standards list
Waveform coding,Perceptual Audio Coding (Standards),Standards list
Wavelength constant,General Audio & Signal Terms (Standards),Standards list
Weighted overlap-add,General Audio & Signal Terms (Standards),Standards list
Weighting network,Acoustic Measurement & Metrology (Standards),Standards list
Wet/dry mix ratio,General Audio & Signal Terms (Standards),Standards list
Whisper-mode processing,General Audio & Signal Terms (Standards),Standards list
Wideband speech coding,Perceptual Audio Coding (Standards),Standards list
Windowing function,Audio DSP & Coding Signal Terms (Standards),Standards list
Zero-crossing rate,General Audio & Signal Terms (Standards),Standards list
Zwicker loudness model,Broadcast Loudness & Compliance,Standards list
Punch-and-streamer synchronization,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Free timing,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Written click,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Click value,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Fractional click,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Variable click,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Dead click,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Click dropout,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Catch beat,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Catch point,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Sync beat,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Sync bar,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Sync-point tolerance,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Hit-point map,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Beat mapping to picture,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Tempo solve,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Tempo fitting,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Meter modulation for picture,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Reel–music cue number,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
M-number,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue suffix,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue prefix,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue split,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue combine,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue insert,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue replacement,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue versioning,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Alternate cue,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue revision letter,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue matrix,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue status,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue turnover,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue lock,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue package,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Reconform,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Global reconform,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Picture-change list,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Change note,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Pull-up,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Pull-down,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Head change,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Tail change,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Internal change,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Picture slip,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Music slip,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Editorial stretch,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Editorial compression,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Structural conform,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Post-record conform,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Pre-record conform,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Spotting note,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Timing note,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
In-point,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Out-point,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Music entrance rationale,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Music exit rationale,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Play-through,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Play-off,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Play-on,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Open ending,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Soft out,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Tail-out,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Top-and-tail scoring,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Bookend scoring,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Under-dialogue corridor,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Dialogue pocket,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Narrative handoff,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Modular scoring,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Expandable module,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Contractible module,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Elastic phrase,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Neutral bar,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Holding pattern,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Vamp-to-hit,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Vamp-out,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Safety bar,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cut bar,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Insert bar,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Accordion cue,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Pivot bar,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Transition module,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Tension plateau,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Deferred cadence,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cadential synchronization,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Phrasal synchronization,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Metric synchronization,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Parametric synchronization,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Orchestral handoff,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Timbral reveal,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Registral clearance,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Orchestration thinning,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Perspective orchestration,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Scoring stage foldback,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Conductor picture feed,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Session streamer,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Session punch,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Prelay,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Score prelay,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Orchestral sweetener,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Electronic sweetener,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Double pass,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Sectional overlay,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Spot overdub,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Score replacement pass,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Wild take,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Wild ending,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Ring-out take,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Long-tail take,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Clean top,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Clean tail,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Score stage master,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue assembly,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Score conform stem,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Cue assembly master,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Music editorial master,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Music-and-effects compatibility,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
M&E gap,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Score stem family,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Editorial stem,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Theme stem,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Pulse stem,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Atmospheric stem,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Transient stem,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Score element,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
No-melody mix,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
No-percussion mix,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Reduced-density mix,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Button alternate,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Mix-out alternate,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Music editorial toolkit,"Film Scoring — Sync, Cue & Music Editorial",Batch 1
Photoplay music,Silent-Film & Photoplay Scoring,Batch 1
Photoplay album,Silent-Film & Photoplay Scoring,Batch 1
Photoplay library,Silent-Film & Photoplay Scoring,Batch 1
Thematic cue sheet,Silent-Film & Photoplay Scoring,Batch 1
Cue-sheet incipit,Silent-Film & Photoplay Scoring,Batch 1
Compilation score,Silent-Film & Photoplay Scoring,Batch 1
Compiled accompaniment,Silent-Film & Photoplay Scoring,Batch 1
Synchronization score,Silent-Film & Photoplay Scoring,Batch 1
Stock cue,Silent-Film & Photoplay Scoring,Batch 1
Characteristic piece,Silent-Film & Photoplay Scoring,Batch 1
Situation music,Silent-Film & Photoplay Scoring,Batch 1
Hurry,Silent-Film & Photoplay Scoring,Batch 1
Comic hurry,Silent-Film & Photoplay Scoring,Batch 1
Agitato,Silent-Film & Photoplay Scoring,Batch 1
Furioso,Silent-Film & Photoplay Scoring,Batch 1
Misterioso,Silent-Film & Photoplay Scoring,Batch 1
Comic misterioso,Silent-Film & Photoplay Scoring,Batch 1
Andante misterioso,Silent-Film & Photoplay Scoring,Batch 1
Plaintive,Silent-Film & Photoplay Scoring,Batch 1
Pathetic music,Silent-Film & Photoplay Scoring,Batch 1
Neutral music,Silent-Film & Photoplay Scoring,Batch 1
General-use hurry,Silent-Film & Photoplay Scoring,Batch 1
Descriptive incidental,Silent-Film & Photoplay Scoring,Batch 1
Curtain music,Silent-Film & Photoplay Scoring,Batch 1
Musical primer,Silent-Film & Photoplay Scoring,Batch 1
Modular silent-film score,Silent-Film & Photoplay Scoring,Batch 1
Anempathetic music,Film-Music Theory & Analysis,Batch 1
Empathetic music,Film-Music Theory & Analysis,Batch 1
Synchresis,Film-Music Theory & Analysis,Batch 1
Added value,Film-Music Theory & Analysis,Batch 1
Audiovisual counterpoint,Film-Music Theory & Analysis,Batch 1
Audiovisual consonance,Film-Music Theory & Analysis,Batch 1
Audiovisual dissonance,Film-Music Theory & Analysis,Batch 1
Temporal vectorization,Film-Music Theory & Analysis,Batch 1
Temporalization of image,Film-Music Theory & Analysis,Batch 1
Point of synchronization,Film-Music Theory & Analysis,Batch 1
Avoided synchronization,Film-Music Theory & Analysis,Batch 1
False synchronization,Film-Music Theory & Analysis,Batch 1
Micro-synchronization,Film-Music Theory & Analysis,Batch 1
Macro-synchronization,Film-Music Theory & Analysis,Batch 1
Structural synchronization,Film-Music Theory & Analysis,Batch 1
Tonal teleology,Film-Music Theory & Analysis,Batch 1
Cadential genre,Film-Music Theory & Analysis,Batch 1
Mixed plagal cadence,Film-Music Theory & Analysis,Batch 1
Subtonic half cadence,Film-Music Theory & Analysis,Batch 1
Tritone-minor-second complex,Film-Music Theory & Analysis,Batch 1
Chromatic mediant network,Film-Music Theory & Analysis,Batch 1
Pan-triadic writing,Film-Music Theory & Analysis,Batch 1
Neo-Riemannian transformation,Film-Music Theory & Analysis,Batch 1
Hexatonic pole,Film-Music Theory & Analysis,Batch 1
Double-tonic complex,Film-Music Theory & Analysis,Batch 1
Tonal pairing,Film-Music Theory & Analysis,Batch 1
Associative orchestration,Film-Music Theory & Analysis,Batch 1
Timbral leitmotif,Film-Music Theory & Analysis,Batch 1
Textural leitmotif,Film-Music Theory & Analysis,Batch 1
Harmonic signifier,Film-Music Theory & Analysis,Batch 1
Topic transformation,Film-Music Theory & Analysis,Batch 1
Genre-coded cadence,Film-Music Theory & Analysis,Batch 1
Signal extraction,Archival Preservation Principles & Digital Repository,Batch 1
Content migration,Archival Preservation Principles & Digital Repository,Batch 1
Carrier preservation,Archival Preservation Principles & Digital Repository,Batch 1
Content preservation,Archival Preservation Principles & Digital Repository,Batch 1
Preservation transfer,Archival Preservation Principles & Digital Repository,Batch 1
Archival transfer chain,Archival Preservation Principles & Digital Repository,Batch 1
Access derivative,Archival Preservation Principles & Digital Repository,Batch 1
Mezzanine file,Archival Preservation Principles & Digital Repository,Batch 1
Authentic signal representation,Archival Preservation Principles & Digital Repository,Batch 1
Archival neutrality,Archival Preservation Principles & Digital Repository,Batch 1
Reversible intervention,Archival Preservation Principles & Digital Repository,Batch 1
Minimal intervention,Archival Preservation Principles & Digital Repository,Batch 1
Documented intervention,Archival Preservation Principles & Digital Repository,Batch 1
Preservation pathway,Archival Preservation Principles & Digital Repository,Batch 1
Format obsolescence risk,Archival Preservation Principles & Digital Repository,Batch 1
Carrier-based obsolescence,Archival Preservation Principles & Digital Repository,Batch 1
System dependency,Archival Preservation Principles & Digital Repository,Batch 1
Preservation triage,Archival Preservation Principles & Digital Repository,Batch 1
Unequalized transfer,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Pre-equalized transfer,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Post-transfer equalization,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Replay characteristic,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Historical replay equalization,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Turnover frequency,"Archival Transfer, Recovery & Restoration Processing",Batch 1
High-frequency roll-off constant,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Non-RIAA equalization,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Characteristic uncertainty,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Reference transfer,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Parallel transfer,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Multi-stylus transfer,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Multi-pass transfer,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Channel-selective transfer,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Dual-wall recovery,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Wall-to-wall summation,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Phase-coherent summation,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Differential groove recovery,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Common-mode groove rejection,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Transfer calibration tone,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Transfer lineage,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Generation identification,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Generation loss assessment,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Contemporaneous transfer note,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Binder hydrolysis,Magnetic Media Degradation (Archival),Batch 1
Sticky-shed syndrome,Magnetic Media Degradation (Archival),Batch 1
Soft-binder syndrome,Magnetic Media Degradation (Archival),Batch 1
Binder breakdown,Magnetic Media Degradation (Archival),Batch 1
Coating shed,Magnetic Media Degradation (Archival),Batch 1
Oxide shedding,Magnetic Media Degradation (Archival),Batch 1
Binder exudation,Magnetic Media Degradation (Archival),Batch 1
Lubricant exudation,Magnetic Media Degradation (Archival),Batch 1
Lubricant depletion,Magnetic Media Degradation (Archival),Batch 1
Blocking,Magnetic Media Degradation (Archival),Batch 1
Layer adhesion,Magnetic Media Degradation (Archival),Batch 1
Coating delamination,Magnetic Media Degradation (Archival),Batch 1
Base-film hydrolysis,Magnetic Media Degradation (Archival),Batch 1
Acetate-base decomposition,Magnetic Media Degradation (Archival),Batch 1
Vinegar syndrome,Magnetic Media Degradation (Archival),Batch 1
Plasticizer migration,Magnetic Media Degradation (Archival),Batch 1
Embrittlement,Magnetic Media Degradation (Archival),Batch 1
Substrate shrinkage,Magnetic Media Degradation (Archival),Batch 1
Magnetic-particle agglomeration,Magnetic Media Degradation (Archival),Batch 1
Coating friability,Magnetic Media Degradation (Archival),Batch 1
Pack tension,Magnetic Media Degradation (Archival),Batch 1
Pack stress,Magnetic Media Degradation (Archival),Batch 1
Pack slip,Magnetic Media Degradation (Archival),Batch 1
Interlayer slip,Magnetic Media Degradation (Archival),Batch 1
Cinching,Magnetic Media Degradation (Archival),Batch 1
Stepped pack,Magnetic Media Degradation (Archival),Batch 1
Scattered wind,Magnetic Media Degradation (Archival),Batch 1
Windowing,Magnetic Media Degradation (Archival),Batch 1
Spoking,Magnetic Media Degradation (Archival),Batch 1
Pack collapse,Magnetic Media Degradation (Archival),Batch 1
Flange pack contact,Magnetic Media Degradation (Archival),Batch 1
Edge weave,Magnetic Media Degradation (Archival),Batch 1
Tape skew,Magnetic Media Degradation (Archival),Batch 1
Edge damage,Magnetic Media Degradation (Archival),Batch 1
Popped strand,Magnetic Media Degradation (Archival),Batch 1
Leafing,Magnetic Media Degradation (Archival),Batch 1
Cupping,Magnetic Media Degradation (Archival),Batch 1
Longitudinal curl,Magnetic Media Degradation (Archival),Batch 1
Transverse curl,Magnetic Media Degradation (Archival),Batch 1
Saddle deformation,Magnetic Media Degradation (Archival),Batch 1
Crease memory,Magnetic Media Degradation (Archival),Batch 1
Tension imprint,Magnetic Media Degradation (Archival),Batch 1
Print-through,Magnetic Media Degradation (Archival),Batch 1
Pre-print,Magnetic Media Degradation (Archival),Batch 1
Post-print,Magnetic Media Degradation (Archival),Batch 1
Azimuth error,Magnetic Media Degradation (Archival),Batch 1
Dynamic azimuth error,Magnetic Media Degradation (Archival),Batch 1
Azimuth drift,Magnetic Media Degradation (Archival),Batch 1
Segmental azimuth correction,Magnetic Media Degradation (Archival),Batch 1
Automatic azimuth correction,Magnetic Media Degradation (Archival),Batch 1
Zenith error,Magnetic Media Degradation (Archival),Batch 1
Head-height error,Magnetic Media Degradation (Archival),Batch 1
Track-placement error,Magnetic Media Degradation (Archival),Batch 1
Track-width mismatch,Magnetic Media Degradation (Archival),Batch 1
Guard-band intrusion,Magnetic Media Degradation (Archival),Batch 1
Adjacent-track crosstalk,Magnetic Media Degradation (Archival),Batch 1
Head-wrap angle,Magnetic Media Degradation (Archival),Batch 1
Tape wrap,Magnetic Media Degradation (Archival),Batch 1
Head-to-tape contact,Magnetic Media Degradation (Archival),Batch 1
Spacing loss,Magnetic Media Degradation (Archival),Batch 1
Gap loss,Magnetic Media Degradation (Archival),Batch 1
Contour effect,Magnetic Media Degradation (Archival),Batch 1
Fringing effect,Magnetic Media Degradation (Archival),Batch 1
Head-gap scatter,Magnetic Media Degradation (Archival),Batch 1
Interchannel time displacement,Magnetic Media Degradation (Archival),Batch 1
Stack alignment,Magnetic Media Degradation (Archival),Batch 1
Reference-fluxivity mismatch,Magnetic Media Degradation (Archival),Batch 1
Replay calibration ambiguity,Magnetic Media Degradation (Archival),Batch 1
Wow,Magnetic Media Degradation (Archival),Batch 1
Flutter,Magnetic Media Degradation (Archival),Batch 1
Wow-and-flutter profile,Magnetic Media Degradation (Archival),Batch 1
Scrape flutter,Magnetic Media Degradation (Archival),Batch 1
Stick-slip motion,Magnetic Media Degradation (Archival),Batch 1
Tape squeal,Magnetic Media Degradation (Archival),Batch 1
Longitudinal vibration,Magnetic Media Degradation (Archival),Batch 1
Transverse vibration,Magnetic Media Degradation (Archival),Batch 1
Capstan eccentricity,Magnetic Media Degradation (Archival),Batch 1
Pinch-roller eccentricity,Magnetic Media Degradation (Archival),Batch 1
Capstan imprint,Magnetic Media Degradation (Archival),Batch 1
Reel eccentricity,Magnetic Media Degradation (Archival),Batch 1
Torque ripple,Magnetic Media Degradation (Archival),Batch 1
Tension modulation,Magnetic Media Degradation (Archival),Batch 1
Servo hunting,Magnetic Media Degradation (Archival),Batch 1
Speed-reference reconstruction,Magnetic Media Degradation (Archival),Batch 1
Mains-hum speed correction,Magnetic Media Degradation (Archival),Batch 1
Bias-tone tracking,Magnetic Media Degradation (Archival),Batch 1
Pilot-tone recovery,Magnetic Media Degradation (Archival),Batch 1
Capstanless correction,Magnetic Media Degradation (Archival),Batch 1
Instantaneous disc,Grooved & Obsolete Carrier Preservation,Batch 1
Direct-cut disc,Grooved & Obsolete Carrier Preservation,Batch 1
Transcription disc,Grooved & Obsolete Carrier Preservation,Batch 1
Pre-grooved disc,Grooved & Obsolete Carrier Preservation,Batch 1
Embossed groove,Grooved & Obsolete Carrier Preservation,Batch 1
Cut groove,Grooved & Obsolete Carrier Preservation,Batch 1
Lateral-cut recording,Grooved & Obsolete Carrier Preservation,Batch 1
Vertical-cut recording,Grooved & Obsolete Carrier Preservation,Batch 1
Hill-and-dale recording,Grooved & Obsolete Carrier Preservation,Batch 1
Variable-pitch cutting,Grooved & Obsolete Carrier Preservation,Batch 1
Groove eccentricity,Grooved & Obsolete Carrier Preservation,Batch 1
Concentric runout,Grooved & Obsolete Carrier Preservation,Batch 1
Inside-start disc,Grooved & Obsolete Carrier Preservation,Batch 1
Outside-start disc,Grooved & Obsolete Carrier Preservation,Batch 1
Groove-wall selection,Grooved & Obsolete Carrier Preservation,Batch 1
Stylus truncation,Grooved & Obsolete Carrier Preservation,Batch 1
Stylus-radius optimization,Grooved & Obsolete Carrier Preservation,Batch 1
Truncated elliptical stylus,Grooved & Obsolete Carrier Preservation,Batch 1
Groove-bottom riding,Grooved & Obsolete Carrier Preservation,Batch 1
Pinch effect,Grooved & Obsolete Carrier Preservation,Batch 1
Tracing distortion,Grooved & Obsolete Carrier Preservation,Batch 1
Scanning loss,Grooved & Obsolete Carrier Preservation,Batch 1
Groove echo,Grooved & Obsolete Carrier Preservation,Batch 1
Turntable rumble,Grooved & Obsolete Carrier Preservation,Batch 1
Warp wow,Grooved & Obsolete Carrier Preservation,Batch 1
Lacquer delamination,Grooved & Obsolete Carrier Preservation,Batch 1
Lacquer lifting,Grooved & Obsolete Carrier Preservation,Batch 1
Lacquer flaking,Grooved & Obsolete Carrier Preservation,Batch 1
Palmitic-acid exudation,Grooved & Obsolete Carrier Preservation,Batch 1
Plasticizer loss,Grooved & Obsolete Carrier Preservation,Batch 1
Lacquer shrinkage,Grooved & Obsolete Carrier Preservation,Batch 1
Surface crazing,Grooved & Obsolete Carrier Preservation,Batch 1
Radial cracking,Grooved & Obsolete Carrier Preservation,Batch 1
Concentric cracking,Grooved & Obsolete Carrier Preservation,Batch 1
Groove-wall fracture,Grooved & Obsolete Carrier Preservation,Batch 1
Groove collapse,Grooved & Obsolete Carrier Preservation,Batch 1
Substrate corrosion,Grooved & Obsolete Carrier Preservation,Batch 1
Glass-base fracture,Grooved & Obsolete Carrier Preservation,Batch 1
Core swelling,Grooved & Obsolete Carrier Preservation,Batch 1
Exudate removal,Grooved & Obsolete Carrier Preservation,Batch 1
Surface bloom,Grooved & Obsolete Carrier Preservation,Batch 1
Mold hyphae intrusion,Grooved & Obsolete Carrier Preservation,Batch 1
Groove accretion,Grooved & Obsolete Carrier Preservation,Batch 1
Particulate occlusion,Grooved & Obsolete Carrier Preservation,Batch 1
Wet-play transfer,Grooved & Obsolete Carrier Preservation,Batch 1
Wax-cylinder shaving,Grooved & Obsolete Carrier Preservation,Batch 1
Cylinder eccentricity,Grooved & Obsolete Carrier Preservation,Batch 1
Mandrel mismatch,Grooved & Obsolete Carrier Preservation,Batch 1
