term,topic
Bending mode,Acoustics & Wave Physics (Science)
Torsional mode,Acoustics & Wave Physics (Science)
Breathing mode,Acoustics & Wave Physics (Science)
Breakup mode,Acoustics & Wave Physics (Science)
Coincidence frequency,Acoustics & Wave Physics (Science)
Critical frequency,Acoustics & Wave Physics (Science)
Stiffness-controlled region,Acoustics & Wave Physics (Science)
Mass-controlled region,Acoustics & Wave Physics (Science)
Damping-controlled region,Acoustics & Wave Physics (Science)
Radiation efficiency,Acoustics & Wave Physics (Science)
Radiation ratio,Acoustics & Wave Physics (Science)
Structural wave impedance,Acoustics & Wave Physics (Science)
Reciprocity transducer,Microphone Engineering & Transduction (Science)
Reciprocal microphone,Microphone Engineering & Transduction (Science)
Nonreciprocal transducer,Microphone Engineering & Transduction (Science)
Electrostatic transduction,Microphone Engineering & Transduction (Science)
Electrodynamic transduction,Microphone Engineering & Transduction (Science)
Electromagnetic induction,Microphone Engineering & Transduction (Science)
Piezoelectric transduction,Microphone Engineering & Transduction (Science)
Piezoresistive transduction,Microphone Engineering & Transduction (Science)
Capacitive sensing,Microphone Engineering & Transduction (Science)
Optical interferometric sensing,Microphone Engineering & Transduction (Science)
Fiber Bragg grating microphone,Microphone Engineering & Transduction (Science)
Magnetostrictive sensing,Microphone Engineering & Transduction (Science)
Thermoacoustic sensing,Microphone Engineering & Transduction (Science)
Photoacoustic microphone,Microphone Engineering & Transduction (Science)
Optoacoustic microphone,Microphone Engineering & Transduction (Science)
Ionophone microphone,Microphone Engineering & Transduction (Science)
Plasma microphone,Microphone Engineering & Transduction (Science)
Microflown sensor,Microphone Engineering & Transduction (Science)
Particle-velocity sensor,Microphone Engineering & Transduction (Science)
Pressure–velocity probe,Microphone Engineering & Transduction (Science)
Sound-intensity probe,Microphone Engineering & Transduction (Science)
Differential-pressure microphone,Microphone Engineering & Transduction (Science)
Pressure-gradient receiver,Microphone Engineering & Transduction (Science)
First-order gradient microphone,Microphone Engineering & Transduction (Science)
Second-order gradient microphone,Microphone Engineering & Transduction (Science)
Zero-order microphone,Microphone Engineering & Transduction (Science)
Higher-order microphone,Microphone Engineering & Transduction (Science)
Coincident microphone array,Microphone Engineering & Transduction (Science)
Distributed microphone array,Microphone Engineering & Transduction (Science)
Sparse microphone array,Microphone Engineering & Transduction (Science)
Conformal microphone array,Microphone Engineering & Transduction (Science)
Spherical microphone array,Microphone Engineering & Transduction (Science)
Circular microphone array,Microphone Engineering & Transduction (Science)
Planar microphone array,Microphone Engineering & Transduction (Science)
Volumetric microphone array,Microphone Engineering & Transduction (Science)
Externally polarized condenser microphone,Microphone Engineering & Transduction (Science)
Prepolarized condenser microphone,Microphone Engineering & Transduction (Science)
Permanently polarized microphone,Microphone Engineering & Transduction (Science)
Electret polarization,Microphone Engineering & Transduction (Science)
Back-electret microphone,Microphone Engineering & Transduction (Science)
Front-electret microphone,Microphone Engineering & Transduction (Science)
Foil-electret microphone,Microphone Engineering & Transduction (Science)
Surface potential,Microphone Engineering & Transduction (Science)
Polarization voltage,Microphone Engineering & Transduction (Science)
Bias voltage,Microphone Engineering & Transduction (Science)
Diaphragm–backplate capacitance,Microphone Engineering & Transduction (Science)
Static capacitance,Microphone Engineering & Transduction (Science)
Capacitance variation,Microphone Engineering & Transduction (Science)
Electrostatic attraction,Microphone Engineering & Transduction (Science)
Diaphragm collapse,Microphone Engineering & Transduction (Science)
Pull-in voltage,Microphone Engineering & Transduction (Science)
Backplate perforation,Microphone Engineering & Transduction (Science)
Venting time constant,Microphone Engineering & Transduction (Science)
Pressure equalization vent,Microphone Engineering & Transduction (Science)
Barometric pressure coefficient,Microphone Engineering & Transduction (Science)
Static-pressure coefficient,Microphone Engineering & Transduction (Science)
Temperature coefficient,Microphone Engineering & Transduction (Science)
Humidity coefficient,Microphone Engineering & Transduction (Science)
Environmental sensitivity,Microphone Engineering & Transduction (Science)
Diaphragm resonance,Microphone Engineering & Transduction (Science)
Cavity resonance,Microphone Engineering & Transduction (Science)
Back-volume compliance,Microphone Engineering & Transduction (Science)
Vent resistance,Microphone Engineering & Transduction (Science)
Acoustic leakage,Microphone Engineering & Transduction (Science)
Protection-grid correction,Microphone Engineering & Transduction (Science)
Grid diffraction,Microphone Engineering & Transduction (Science)
Incidence correction,Microphone Engineering & Transduction (Science)
Pressure-field correction,Microphone Engineering & Transduction (Science)
Free-field correction,Microphone Engineering & Transduction (Science)
Diffuse-field correction,Microphone Engineering & Transduction (Science)
Random-incidence correction,Microphone Engineering & Transduction (Science)
Laboratory standard microphone,Microphone Engineering & Transduction (Science)
Working standard microphone,Microphone Engineering & Transduction (Science)
Transfer standard microphone,Microphone Engineering & Transduction (Science)
Sound-level-meter microphone,Microphone Engineering & Transduction (Science)
Half-inch measurement microphone,Microphone Engineering & Transduction (Science)
Quarter-inch measurement microphone,Microphone Engineering & Transduction (Science)
One-inch measurement microphone,Microphone Engineering & Transduction (Science)
Free-field microphone,Microphone Engineering & Transduction (Science)
Diffuse-field microphone,Microphone Engineering & Transduction (Science)
Low-frequency microphone,Microphone Engineering & Transduction (Science)
High-level microphone,Microphone Engineering & Transduction (Science)
Infrasonic microphone,Microphone Engineering & Transduction (Science)
Ultrasonic microphone,Microphone Engineering & Transduction (Science)
Complex sensitivity,Microphone Engineering & Transduction (Science)
Pressure sensitivity,Microphone Engineering & Transduction (Science)
Free-field sensitivity,Microphone Engineering & Transduction (Science)
Diffuse-field sensitivity,Microphone Engineering & Transduction (Science)
Loaded sensitivity,Microphone Engineering & Transduction (Science)
Sensitivity level,Microphone Engineering & Transduction (Science)
Phase sensitivity,Microphone Engineering & Transduction (Science)
Magnitude sensitivity,Microphone Engineering & Transduction (Science)
Reciprocity calibration,Microphone Engineering & Transduction (Science)
Primary calibration,Microphone Engineering & Transduction (Science)
Secondary calibration,Microphone Engineering & Transduction (Science)
Comparison calibration,Microphone Engineering & Transduction (Science)
Substitution calibration,Microphone Engineering & Transduction (Science)
Simultaneous comparison,Microphone Engineering & Transduction (Science)
Electrostatic actuator calibration,Microphone Engineering & Transduction (Science)
Pistonphone calibration,Microphone Engineering & Transduction (Science)
Sound-calibrator verification,Microphone Engineering & Transduction (Science)
Insert-voltage technique,Microphone Engineering & Transduction (Science)
Microphone reciprocity,Microphone Engineering & Transduction (Science)
Reciprocity parameter,Microphone Engineering & Transduction (Science)
Coupler reciprocity,Microphone Engineering & Transduction (Science)
Free-field reciprocity,Microphone Engineering & Transduction (Science)
Pressure reciprocity,Microphone Engineering & Transduction (Science)
Calibration uncertainty,Microphone Engineering & Transduction (Science)
Expanded uncertainty,Microphone Engineering & Transduction (Science)
Traceability chain,Microphone Engineering & Transduction (Science)
Reference environmental conditions,Microphone Engineering & Transduction (Science)
Calibration drift,Microphone Engineering & Transduction (Science)
Equivalent acoustic noise,Microphone Engineering & Transduction (Science)
Brownian noise,Microphone Engineering & Transduction (Science)
Thermal noise,Microphone Engineering & Transduction (Science)
Johnson–Nyquist noise,Microphone Engineering & Transduction (Science)
Shot noise,Microphone Engineering & Transduction (Science)
Flicker noise,Microphone Engineering & Transduction (Science)
1/f noise,Microphone Engineering & Transduction (Science)
Dielectric noise,Microphone Engineering & Transduction (Science)
Preamplifier voltage noise,Microphone Engineering & Transduction (Science)
Preamplifier current noise,Microphone Engineering & Transduction (Science)
Noise spectral density,Microphone Engineering & Transduction (Science)
Voltage-noise density,Microphone Engineering & Transduction (Science)
Current-noise density,Microphone Engineering & Transduction (Science)
Acoustic noise floor,Microphone Engineering & Transduction (Science)
Integrated noise,Microphone Engineering & Transduction (Science)
A-weighted self-noise,Microphone Engineering & Transduction (Science)
Z-weighted self-noise,Microphone Engineering & Transduction (Science)
Noise-equivalent pressure,Microphone Engineering & Transduction (Science)
Minimum detectable pressure,Microphone Engineering & Transduction (Science)
Minimum detectable signal,Microphone Engineering & Transduction (Science)
Electrical clipping point,Microphone Engineering & Transduction (Science)
Total dynamic range,Microphone Engineering & Transduction (Science)
Inherent dynamic range,Microphone Engineering & Transduction (Science)
Maximum undistorted output,Microphone Engineering & Transduction (Science)
Source impedance,Microphone Engineering & Transduction (Science)
Capacitive loading,Microphone Engineering & Transduction (Science)
Microphone preamplifier,Microphone Engineering & Transduction (Science)
Junction field-effect transistor,Microphone Engineering & Transduction (Science)
Bootstrapped input,Microphone Engineering & Transduction (Science)
Constant-current powering,Microphone Engineering & Transduction (Science)
Integrated Electronics Piezo-Electric,Microphone Engineering & Transduction (Science)
Integrated Circuit Piezoelectric,Microphone Engineering & Transduction (Science)
IEPE sensor,Microphone Engineering & Transduction (Science)
Constant-current line drive,Microphone Engineering & Transduction (Science)
Phantom powering,Microphone Engineering & Transduction (Science)
Tonader powering,Microphone Engineering & Transduction (Science)
Digital microphone interface,Microphone Engineering & Transduction (Science)
Pulse-density modulation microphone,Microphone Engineering & Transduction (Science)
I2S microphone,Microphone Engineering & Transduction (Science)
Microelectromechanical microphone,Microphone Engineering & Transduction (Science)
MEMS diaphragm,Microphone Engineering & Transduction (Science)
MEMS backplate,Microphone Engineering & Transduction (Science)
Capacitive MEMS microphone,Microphone Engineering & Transduction (Science)
Piezoelectric MEMS microphone,Microphone Engineering & Transduction (Science)
Optical MEMS microphone,Microphone Engineering & Transduction (Science)
Surface micromachining,Microphone Engineering & Transduction (Science)
Bulk micromachining,Microphone Engineering & Transduction (Science)
Deep reactive-ion etching,Microphone Engineering & Transduction (Science)
Sacrificial layer,Microphone Engineering & Transduction (Science)
Silicon-on-insulator,Microphone Engineering & Transduction (Science)
Wafer-level packaging,Microphone Engineering & Transduction (Science)
Acoustic port,Microphone Engineering & Transduction (Science)
Top-port microphone,Microphone Engineering & Transduction (Science)
Bottom-port microphone,Microphone Engineering & Transduction (Science)
Package cavity,Microphone Engineering & Transduction (Science)
Package leakage,Microphone Engineering & Transduction (Science)
MEMS ASIC,Microphone Engineering & Transduction (Science)
Application-specific integrated circuit,Microphone Engineering & Transduction (Science)
Charge amplifier,Microphone Engineering & Transduction (Science)
Sigma-delta modulator,Microphone Engineering & Transduction (Science)
Pulse-density modulation,Microphone Engineering & Transduction (Science)
Digital decimation,Microphone Engineering & Transduction (Science)
Sensitivity tolerance,Microphone Engineering & Transduction (Science)
Part-to-part matching,Microphone Engineering & Transduction (Science)
Phase matching,Microphone Engineering & Transduction (Science)
Array matching,Microphone Engineering & Transduction (Science)
Radio-frequency immunity,Microphone Engineering & Transduction (Science)
Acoustic-overload recovery,Microphone Engineering & Transduction (Science)
Pop-noise suppression,Microphone Engineering & Transduction (Science)
Wake-on-sound,Microphone Engineering & Transduction (Science)
Always-on microphone,Microphone Engineering & Transduction (Science)
Ultrasonic-band response,Microphone Engineering & Transduction (Science)
Dust ingress,Microphone Engineering & Transduction (Science)
Particle ingress protection,Microphone Engineering & Transduction (Science)
Hydrophobic acoustic membrane,Microphone Engineering & Transduction (Science)
Acoustic mesh,Microphone Engineering & Transduction (Science)
Waterproof acoustic vent,Microphone Engineering & Transduction (Science)
Pressure-event robustness,Microphone Engineering & Transduction (Science)
Directivity pattern,Microphone Engineering & Transduction (Science)
Angular response,Microphone Engineering & Transduction (Science)
Azimuth response,Microphone Engineering & Transduction (Science)
Elevation response,Microphone Engineering & Transduction (Science)
Three-dimensional directivity,Microphone Engineering & Transduction (Science)
Front-to-back ratio,Microphone Engineering & Transduction (Science)
Front-to-random ratio,Microphone Engineering & Transduction (Science)
Null depth,Microphone Engineering & Transduction (Science)
Null angle,Microphone Engineering & Transduction (Science)
Acceptance angle,Microphone Engineering & Transduction (Science)
Half-power angle,Microphone Engineering & Transduction (Science)
Main lobe,Microphone Engineering & Transduction (Science)
Side lobe,Microphone Engineering & Transduction (Science)
Rear lobe,Microphone Engineering & Transduction (Science)
Grating lobe,Microphone Engineering & Transduction (Science)
Spatial aliasing,Microphone Engineering & Transduction (Science)
Beam squint,Microphone Engineering & Transduction (Science)
Frequency-invariant beamforming,Microphone Engineering & Transduction (Science)
Pattern consistency,Microphone Engineering & Transduction (Science)
Polar-pattern invariance,Microphone Engineering & Transduction (Science)
Polar narrowing,Microphone Engineering & Transduction (Science)
Superdirectivity,Microphone Engineering & Transduction (Science)
Directivity order,Microphone Engineering & Transduction (Science)
Spherical harmonic order,Microphone Engineering & Transduction (Science)
Legendre polynomial,Microphone Engineering & Transduction (Science)
Cardioid family,Microphone Engineering & Transduction (Science)
Bidirectional response,Microphone Engineering & Transduction (Science)
Figure-eight response,Microphone Engineering & Transduction (Science)
Shotgun interference tube,Microphone Engineering & Transduction (Science)
Interference-tube slot,Microphone Engineering & Transduction (Science)
Line-gradient microphone,Microphone Engineering & Transduction (Science)
Differential array,Microphone Engineering & Transduction (Science)
Delay-and-sum beamformer,Microphone Engineering & Transduction (Science)
Filter-and-sum beamformer,Microphone Engineering & Transduction (Science)
Minimum-variance distortionless response,Microphone Engineering & Transduction (Science)
MVDR beamformer,Microphone Engineering & Transduction (Science)
Capon beamformer,Microphone Engineering & Transduction (Science)
Generalized sidelobe canceller,Microphone Engineering & Transduction (Science)
Frost beamformer,Microphone Engineering & Transduction (Science)
Linearly constrained minimum-variance beamformer,Microphone Engineering & Transduction (Science)
Adaptive beamformer,Microphone Engineering & Transduction (Science)
Fixed beamformer,Microphone Engineering & Transduction (Science)
Broadband beamformer,Microphone Engineering & Transduction (Science)
Narrowband beamformer,Microphone Engineering & Transduction (Science)
Frequency-domain beamforming,Microphone Engineering & Transduction (Science)
Time-domain beamforming,Microphone Engineering & Transduction (Science)
Subband beamforming,Microphone Engineering & Transduction (Science)
Differential beamforming,Microphone Engineering & Transduction (Science)
Superdirective beamforming,Microphone Engineering & Transduction (Science)
Robust beamforming,Microphone Engineering & Transduction (Science)
Blind beamforming,Microphone Engineering & Transduction (Science)
Neural beamforming,Microphone Engineering & Transduction (Science)
Steering vector,Microphone Engineering & Transduction (Science)
Array manifold,Microphone Engineering & Transduction (Science)
Array aperture,Microphone Engineering & Transduction (Science)
Effective aperture,Microphone Engineering & Transduction (Science)
Element spacing,Microphone Engineering & Transduction (Science)
Spatial covariance matrix,Microphone Engineering & Transduction (Science)
Cross-spectral matrix,Microphone Engineering & Transduction (Science)
Coherence matrix,Microphone Engineering & Transduction (Science)
Diagonal loading,Microphone Engineering & Transduction (Science)
Spatial whitening,Microphone Engineering & Transduction (Science)
Beamformer weight,Microphone Engineering & Transduction (Science)
Complex weighting,Microphone Engineering & Transduction (Science)
Phase shading,Microphone Engineering & Transduction (Science)
Amplitude shading,Microphone Engineering & Transduction (Science)
Tapering function,Microphone Engineering & Transduction (Science)
Dolph–Chebyshev weighting,Microphone Engineering & Transduction (Science)
Delay estimation,Microphone Engineering & Transduction (Science)
Time difference of arrival,Microphone Engineering & Transduction (Science)
Generalized cross-correlation,Microphone Engineering & Transduction (Science)
Phase-transform weighting,Microphone Engineering & Transduction (Science)
GCC-PHAT,Microphone Engineering & Transduction (Science)
Direction of arrival,Microphone Engineering & Transduction (Science)
Source localization,Microphone Engineering & Transduction (Science)
Multiple signal classification,Microphone Engineering & Transduction (Science)
MUSIC algorithm,Microphone Engineering & Transduction (Science)
ESPRIT algorithm,Microphone Engineering & Transduction (Science)
Electrodynamic motor,Loudspeaker & Transducer Engineering (Science)
Moving-coil motor,Loudspeaker & Transducer Engineering (Science)
Moving-magnet motor,Loudspeaker & Transducer Engineering (Science)
Underhung voice coil,Loudspeaker & Transducer Engineering (Science)
Overhung voice coil,Loudspeaker & Transducer Engineering (Science)
Equal-hung voice coil,Loudspeaker & Transducer Engineering (Science)
Short-coil motor,Loudspeaker & Transducer Engineering (Science)
Long-coil motor,Loudspeaker & Transducer Engineering (Science)
Differential-drive motor,Loudspeaker & Transducer Engineering (Science)
Dual-gap motor,Loudspeaker & Transducer Engineering (Science)
Push-pull motor,Loudspeaker & Transducer Engineering (Science)
Symmetric magnetic circuit,Loudspeaker & Transducer Engineering (Science)
Asymmetric magnetic circuit,Loudspeaker & Transducer Engineering (Science)
Magnetic return path,Loudspeaker & Transducer Engineering (Science)
Pole vent,Loudspeaker & Transducer Engineering (Science)
Backplate vent,Loudspeaker & Transducer Engineering (Science)
Under-spider vent,Loudspeaker & Transducer Engineering (Science)
Air-gap flux density,Loudspeaker & Transducer Engineering (Science)
Flux density distribution,Loudspeaker & Transducer Engineering (Science)
Force factor,Loudspeaker & Transducer Engineering (Science)
Position-dependent force factor,Loudspeaker & Transducer Engineering (Science)
BL(x),Loudspeaker & Transducer Engineering (Science)
Current-dependent force factor,Loudspeaker & Transducer Engineering (Science)
BL(i),Loudspeaker & Transducer Engineering (Science)
Flux stabilization,Loudspeaker & Transducer Engineering (Science)
Faraday ring,Loudspeaker & Transducer Engineering (Science)
Eddy-current brake,Loudspeaker & Transducer Engineering (Science)
Voice-coil inductance,Loudspeaker & Transducer Engineering (Science)
Position-dependent inductance,Loudspeaker & Transducer Engineering (Science)
Le(x),Loudspeaker & Transducer Engineering (Science)
Current-dependent inductance,Loudspeaker & Transducer Engineering (Science)
Le(i),Loudspeaker & Transducer Engineering (Science)
Semi-inductance,Loudspeaker & Transducer Engineering (Science)
Reluctance force,Loudspeaker & Transducer Engineering (Science)
Magnetic saturation,Loudspeaker & Transducer Engineering (Science)
Hysteresis distortion,Loudspeaker & Transducer Engineering (Science)
Motor asymmetry,Loudspeaker & Transducer Engineering (Science)
Force-factor asymmetry,Loudspeaker & Transducer Engineering (Science)
Inductance asymmetry,Loudspeaker & Transducer Engineering (Science)
Rest-position offset,Loudspeaker & Transducer Engineering (Science)
Mechanical compliance,Loudspeaker & Transducer Engineering (Science)
Kms,Loudspeaker & Transducer Engineering (Science)
Position-dependent stiffness,Loudspeaker & Transducer Engineering (Science)
Kms(x),Loudspeaker & Transducer Engineering (Science)
Compliance nonlinearity,Loudspeaker & Transducer Engineering (Science)
Progressive suspension,Loudspeaker & Transducer Engineering (Science)
Regressive suspension,Loudspeaker & Transducer Engineering (Science)
Spider linearity,Loudspeaker & Transducer Engineering (Science)
Surround linearity,Loudspeaker & Transducer Engineering (Science)
Suspension symmetry,Loudspeaker & Transducer Engineering (Science)
Suspension creep,Loudspeaker & Transducer Engineering (Science)
Viscoelastic creep,Loudspeaker & Transducer Engineering (Science)
Stress relaxation,Loudspeaker & Transducer Engineering (Science)
Hysteretic damping,Loudspeaker & Transducer Engineering (Science)
Mechanical hysteresis,Loudspeaker & Transducer Engineering (Science)
Suspension aging,Loudspeaker & Transducer Engineering (Science)
Break-in effect,Loudspeaker & Transducer Engineering (Science)
Fatigue life,Loudspeaker & Transducer Engineering (Science)
Mechanical fatigue,Loudspeaker & Transducer Engineering (Science)
Buckling,Loudspeaker & Transducer Engineering (Science)
Rocking instability,Loudspeaker & Transducer Engineering (Science)
Voice-coil rubbing,Loudspeaker & Transducer Engineering (Science)
Bottoming,Loudspeaker & Transducer Engineering (Science)
Mechanical overtravel,Loudspeaker & Transducer Engineering (Science)
Maximum linear excursion,Loudspeaker & Transducer Engineering (Science)
Peak displacement,Loudspeaker & Transducer Engineering (Science)
Peak-to-peak excursion,Loudspeaker & Transducer Engineering (Science)
Displacement limit,Loudspeaker & Transducer Engineering (Science)
Damage limit,Loudspeaker & Transducer Engineering (Science)
Suspension-limited excursion,Loudspeaker & Transducer Engineering (Science)
Motor-limited excursion,Loudspeaker & Transducer Engineering (Science)
Thermal-limited output,Loudspeaker & Transducer Engineering (Science)
Displacement-limited output,Loudspeaker & Transducer Engineering (Science)
Air-noise-limited output,Loudspeaker & Transducer Engineering (Science)
Diaphragm piston region,Loudspeaker & Transducer Engineering (Science)
Piston band,Loudspeaker & Transducer Engineering (Science)
Piston diameter,Loudspeaker & Transducer Engineering (Science)
Effective radiating diameter,Loudspeaker & Transducer Engineering (Science)
Effective radiating area,Loudspeaker & Transducer Engineering (Science)
Breakup frequency,Loudspeaker & Transducer Engineering (Science)
Partial vibration,Loudspeaker & Transducer Engineering (Science)
Distributed-mode behavior,Loudspeaker & Transducer Engineering (Science)
Modal diaphragm,Loudspeaker & Transducer Engineering (Science)
Bending-wave radiator,Loudspeaker & Transducer Engineering (Science)
Flexural radiator,Loudspeaker & Transducer Engineering (Science)
Ring radiator,Loudspeaker & Transducer Engineering (Science)
Annular diaphragm,Loudspeaker & Transducer Engineering (Science)
Inverted dome,Loudspeaker & Transducer Engineering (Science)
Balanced dome,Loudspeaker & Transducer Engineering (Science)
Compression diaphragm,Loudspeaker & Transducer Engineering (Science)
Tangential surround,Loudspeaker & Transducer Engineering (Science)
Radial mode,Loudspeaker & Transducer Engineering (Science)
Circumferential mode,Loudspeaker & Transducer Engineering (Science)
Nodal circle,Loudspeaker & Transducer Engineering (Science)
Nodal diameter,Loudspeaker & Transducer Engineering (Science)
Bell mode,Loudspeaker & Transducer Engineering (Science)
Oil-canning mode,Loudspeaker & Transducer Engineering (Science)
Diaphragm rocking,Loudspeaker & Transducer Engineering (Science)
Constrained-layer damping,Loudspeaker & Transducer Engineering (Science)
Lossy coating,Loudspeaker & Transducer Engineering (Science)
Cone treatment,Loudspeaker & Transducer Engineering (Science)
Diaphragm anisotropy,Loudspeaker & Transducer Engineering (Science)
Orthotropic diaphragm,Loudspeaker & Transducer Engineering (Science)
Young's modulus,Loudspeaker & Transducer Engineering (Science)
Specific modulus,Loudspeaker & Transducer Engineering (Science)
Tensile strength,Loudspeaker & Transducer Engineering (Science)
Internal damping,Loudspeaker & Transducer Engineering (Science)
Loss tangent,Loudspeaker & Transducer Engineering (Science)
Poisson's ratio,Loudspeaker & Transducer Engineering (Science)
Areal mass,Loudspeaker & Transducer Engineering (Science)
Bending stiffness,Loudspeaker & Transducer Engineering (Science)
Flexural rigidity,Loudspeaker & Transducer Engineering (Science)
Sandwich composite,Loudspeaker & Transducer Engineering (Science)
Honeycomb core,Loudspeaker & Transducer Engineering (Science)
Rohacell core,Loudspeaker & Transducer Engineering (Science)
Vapor-deposited diaphragm,Loudspeaker & Transducer Engineering (Science)
Diamond-like carbon coating,Loudspeaker & Transducer Engineering (Science)
Ceramic-metal composite,Loudspeaker & Transducer Engineering (Science)
Compression ratio,Loudspeaker & Transducer Engineering (Science)
Compression chamber,Loudspeaker & Transducer Engineering (Science)
Annular phase plug,Loudspeaker & Transducer Engineering (Science)
Radial phase plug,Loudspeaker & Transducer Engineering (Science)
Circumferential phase plug,Loudspeaker & Transducer Engineering (Science)
Coherent wavefront,Loudspeaker & Transducer Engineering (Science)
Exit aperture,Loudspeaker & Transducer Engineering (Science)
Throat aperture,Loudspeaker & Transducer Engineering (Science)
Throat impedance,Loudspeaker & Transducer Engineering (Science)
Throat reactance,Loudspeaker & Transducer Engineering (Science)
Throat resistance,Loudspeaker & Transducer Engineering (Science)
Throat distortion,Loudspeaker & Transducer Engineering (Science)
Horn throat,Loudspeaker & Transducer Engineering (Science)
Horn mouth,Loudspeaker & Transducer Engineering (Science)
Mouth circumference,Loudspeaker & Transducer Engineering (Science)
Mouth termination,Loudspeaker & Transducer Engineering (Science)
Mouth reflection,Loudspeaker & Transducer Engineering (Science)
Horn cutoff frequency,Loudspeaker & Transducer Engineering (Science)
Acoustic cutoff,Loudspeaker & Transducer Engineering (Science)
Flare constant,Loudspeaker & Transducer Engineering (Science)
Flare rate,Loudspeaker & Transducer Engineering (Science)
Exponential horn,Loudspeaker & Transducer Engineering (Science)
Conical horn,Loudspeaker & Transducer Engineering (Science)
Hyperbolic horn,Loudspeaker & Transducer Engineering (Science)
Hyperbolic-exponential horn,Loudspeaker & Transducer Engineering (Science)
Tractrix horn,Loudspeaker & Transducer Engineering (Science)
Oblate spheroidal waveguide,Loudspeaker & Transducer Engineering (Science)
Bi-radial horn,Loudspeaker & Transducer Engineering (Science)
Multicellular horn,Loudspeaker & Transducer Engineering (Science)
Diffraction horn,Loudspeaker & Transducer Engineering (Science)
Mantaray horn,Loudspeaker & Transducer Engineering (Science)
Acoustic lens,Loudspeaker & Transducer Engineering (Science)
Waveguide loading,Loudspeaker & Transducer Engineering (Science)
Wavefront curvature,Loudspeaker & Transducer Engineering (Science)
Pattern flip,Loudspeaker & Transducer Engineering (Science)
Pattern collapse,Loudspeaker & Transducer Engineering (Science)
Coverage balloon,Loudspeaker & Transducer Engineering (Science)
Higher-order horn mode,Loudspeaker & Transducer Engineering (Science)
Mouth diffraction,Loudspeaker & Transducer Engineering (Science)
Throat reflection,Loudspeaker & Transducer Engineering (Science)
Horn honk,Loudspeaker & Transducer Engineering (Science)
Air nonlinearity,Loudspeaker & Transducer Engineering (Science)
Compression nonlinearity,Loudspeaker & Transducer Engineering (Science)
Acoustic compliance of enclosure,Loudspeaker & Transducer Engineering (Science)
Enclosure compliance,Loudspeaker & Transducer Engineering (Science)
Box compliance,Loudspeaker & Transducer Engineering (Science)
Enclosed-air stiffness,Loudspeaker & Transducer Engineering (Science)
Box loss,Loudspeaker & Transducer Engineering (Science)
Leakage loss,Loudspeaker & Transducer Engineering (Science)
Absorption loss,Loudspeaker & Transducer Engineering (Science)
Qa,Loudspeaker & Transducer Engineering (Science)
Ql,Loudspeaker & Transducer Engineering (Science)
Qp,Loudspeaker & Transducer Engineering (Science)
Total enclosure Q,Loudspeaker & Transducer Engineering (Science)
System resonance,Loudspeaker & Transducer Engineering (Science)
Closed-box resonance,Loudspeaker & Transducer Engineering (Science)
Fc,Loudspeaker & Transducer Engineering (Science)
Closed-box Q,Loudspeaker & Transducer Engineering (Science)
Qtc,Loudspeaker & Transducer Engineering (Science)
Compliance ratio,Loudspeaker & Transducer Engineering (Science)
Alpha ratio,Loudspeaker & Transducer Engineering (Science)
Butterworth alignment,Loudspeaker & Transducer Engineering (Science)
Bessel alignment,Loudspeaker & Transducer Engineering (Science)
Chebyshev alignment,Loudspeaker & Transducer Engineering (Science)
Linkwitz transform,Loudspeaker & Transducer Engineering (Science)
Extended bass shelf,Loudspeaker & Transducer Engineering (Science)
Quasi-Butterworth alignment,Loudspeaker & Transducer Engineering (Science)
SBB4 alignment,Loudspeaker & Transducer Engineering (Science)
QB3 alignment,Loudspeaker & Transducer Engineering (Science)
C4 alignment,Loudspeaker & Transducer Engineering (Science)
Passive-radiator alignment,Loudspeaker & Transducer Engineering (Science)
Vented-box alignment,Loudspeaker & Transducer Engineering (Science)
Box tuning frequency,Loudspeaker & Transducer Engineering (Science)
Fb,Loudspeaker & Transducer Engineering (Science)
Port air mass,Loudspeaker & Transducer Engineering (Science)
Port end correction,Loudspeaker & Transducer Engineering (Science)
Port acoustic resistance,Loudspeaker & Transducer Engineering (Science)
Port compression,Loudspeaker & Transducer Engineering (Science)
Port turbulence,Loudspeaker & Transducer Engineering (Science)
Port Mach number,Loudspeaker & Transducer Engineering (Science)
Port chuffing,Loudspeaker & Transducer Engineering (Science)
Organ-pipe resonance,Loudspeaker & Transducer Engineering (Science)
Pipe resonance,Loudspeaker & Transducer Engineering (Science)
Vent resonance,Loudspeaker & Transducer Engineering (Science)
Passive-radiator mass,Loudspeaker & Transducer Engineering (Science)
Passive-radiator compliance,Loudspeaker & Transducer Engineering (Science)
Passive-radiator excursion,Loudspeaker & Transducer Engineering (Science)
Transmission-line terminus,Loudspeaker & Transducer Engineering (Science)
Line taper,Loudspeaker & Transducer Engineering (Science)
Line stuffing,Loudspeaker & Transducer Engineering (Science)
Quarter-wave enclosure,Loudspeaker & Transducer Engineering (Science)
Mass-loaded transmission line,Loudspeaker & Transducer Engineering (Science)
Tapered quarter-wave tube,Loudspeaker & Transducer Engineering (Science)
Voigt pipe,Loudspeaker & Transducer Engineering (Science)
Aperiodic enclosure,Loudspeaker & Transducer Engineering (Science)
Resistive vent,Loudspeaker & Transducer Engineering (Science)
Variovent,Loudspeaker & Transducer Engineering (Science)
Lumped-parameter model,Loudspeaker & Transducer Engineering (Science)
Small-signal model,Loudspeaker & Transducer Engineering (Science)
