topic,term,status,current_topics_if_exists
Monitoring & Audio Evaluation,Fidelity,NEW,
Monitoring & Audio Evaluation,First Reflection Point,NEW,
Monitoring & Audio Evaluation,Graininess,NEW,
Monitoring & Audio Evaluation,Headphone Check,NEW,
Monitoring & Audio Evaluation,High-Level Spot Check,NEW,
Monitoring & Audio Evaluation,Imaging Accuracy,NEW,
Monitoring & Audio Evaluation,Imaging Precision,NEW,
Monitoring & Audio Evaluation,Inter-Listener Agreement,NEW,
Monitoring & Audio Evaluation,Intra-Listener Consistency,NEW,
Monitoring & Audio Evaluation,Level-Matched Comparison,NEW,
Monitoring & Audio Evaluation,Listener Preference,NEW,
Monitoring & Audio Evaluation,Listening Attribute,NEW,
Monitoring & Audio Evaluation,Listening Break,NEW,
Monitoring & Audio Evaluation,Listening Evaluation,NEW,
Monitoring & Audio Evaluation,Listening Fatigue Management,NEW,
Monitoring & Audio Evaluation,Listening Position,EXISTS,Consumer Audio Systems
Monitoring & Audio Evaluation,Listening Preference Test,NEW,
Monitoring & Audio Evaluation,Listening Triangle,NEW,
Monitoring & Audio Evaluation,Low-Latency Monitoring,NEW,
Monitoring & Audio Evaluation,Low-Level Monitoring,NEW,
Monitoring & Audio Evaluation,Main Monitor System,NEW,
Monitoring & Audio Evaluation,Midfield Monitoring,NEW,
Monitoring & Audio Evaluation,Moderate-Level Monitoring,NEW,
Monitoring & Audio Evaluation,Monitor Calibration,NEW,
Monitoring & Audio Evaluation,Monitor Controller,EXISTS,Recording Arts
Monitoring & Audio Evaluation,Monitor Gain Structure,NEW,
Monitoring & Audio Evaluation,Monitor Latency,NEW,
Monitoring & Audio Evaluation,Monitor Level,NEW,
Monitoring & Audio Evaluation,Monitor Mute,NEW,
Monitoring & Audio Evaluation,Monitor Neutrality,NEW,
Monitoring & Audio Evaluation,Monitor Translation,NEW,
Monitoring & Audio Evaluation,Monitor Transparency,NEW,
Monitoring & Audio Evaluation,Monitoring,EXISTS,Assisted Listening Systems
Monitoring & Audio Evaluation,Monitoring Accuracy,NEW,
Monitoring & Audio Evaluation,Monitoring Chain,NEW,
Monitoring & Audio Evaluation,Monitoring Consistency,NEW,
Monitoring & Audio Evaluation,Monitoring Delay,NEW,
Monitoring & Audio Evaluation,Monitoring Discipline,NEW,
Monitoring & Audio Evaluation,Monitoring Environment,NEW,
Monitoring & Audio Evaluation,Monitoring Workflow,NEW,
Monitoring & Audio Evaluation,Mono Reference Speaker,NEW,
Monitoring & Audio Evaluation,Musicality,NEW,
Monitoring & Audio Evaluation,Naturalness,NEW,
Monitoring & Audio Evaluation,Nearfield Monitoring,NEW,
Monitoring & Audio Evaluation,Neutrality,NEW,
Monitoring & Audio Evaluation,Objective Evaluation,NEW,
Monitoring & Audio Evaluation,Off-Air Monitoring,NEW,
Monitoring & Audio Evaluation,Openness,NEW,
Monitoring & Audio Evaluation,Perceived Quality,NEW,
Monitoring & Audio Evaluation,PFL (Pre-Fader Listen),EXISTS,"Analog Live Sound, Mixers & Recorders"
Monitoring & Audio Evaluation,Phantom Center Stability,NEW,
Monitoring & Audio Evaluation,Phase Coherency,NEW,
Monitoring & Audio Evaluation,Pink Noise Reference,NEW,
Monitoring & Audio Evaluation,Polarity Verification,NEW,
Monitoring & Audio Evaluation,Preference Consistency,NEW,
Monitoring & Audio Evaluation,Preference Ranking,NEW,
Monitoring & Audio Evaluation,Program Monitoring,NEW,
Monitoring & Audio Evaluation,Quality Rating Test,NEW,
Monitoring & Audio Evaluation,Reference Library,NEW,
Monitoring & Audio Evaluation,Reference Listening Level,NEW,
Monitoring & Audio Evaluation,Reference Monitor,EXISTS,Recording Arts
Monitoring & Audio Evaluation,Reference Monitoring,NEW,
Monitoring & Audio Evaluation,Reference Playback,NEW,
Monitoring & Audio Evaluation,Reference Reset,NEW,
Monitoring & Audio Evaluation,Reflection Control,NEW,
Monitoring & Audio Evaluation,Secondary Monitor,NEW,
Monitoring & Audio Evaluation,Slam,NEW,
Monitoring & Audio Evaluation,Small Speaker Check,NEW,
Monitoring & Audio Evaluation,Smoothness,NEW,
Monitoring & Audio Evaluation,Solo Monitoring,NEW,
Monitoring & Audio Evaluation,Sound Quality,NEW,
Monitoring & Audio Evaluation,Soundstage,EXISTS,Consumer Audio Systems
Monitoring & Audio Evaluation,Soundstage Depth,NEW,
Monitoring & Audio Evaluation,Soundstage Height,NEW,
Monitoring & Audio Evaluation,Soundstage Width,NEW,
Monitoring & Audio Evaluation,Speaker Geometry,NEW,
Monitoring & Audio Evaluation,Speed,NEW,
Monitoring & Audio Evaluation,Stereo Balance,NEW,
Monitoring & Audio Evaluation,Studio Monitor,EXISTS,Amps & Loudspeakers
Monitoring & Audio Evaluation,Subjective Audio Evaluation,NEW,
Monitoring & Audio Evaluation,Subjective Evaluation,NEW,
Monitoring & Audio Evaluation,Symmetrical Listening Position,NEW,
Monitoring & Audio Evaluation,Test Signal,NEW,
Monitoring & Audio Evaluation,Texture,NEW,
Monitoring & Audio Evaluation,Trained Listener,NEW,
Monitoring & Audio Evaluation,Translation Verification,NEW,
Monitoring & Audio Evaluation,Wet Sound,NEW,
Spatial Hearing & Localization,Acoustic Perspective,NEW,
Spatial Hearing & Localization,Ambisonics,NEW,
Spatial Hearing & Localization,Apparent source width (ASW),NEW,
Spatial Hearing & Localization,Auditory Localization,NEW,
Spatial Hearing & Localization,Auditory perspective,NEW,
Spatial Hearing & Localization,Azimuth,NEW,
Spatial Hearing & Localization,Binaural Recording,EXISTS,"Film & Game Audio, Microphones, Recording Arts"
Spatial Hearing & Localization,Binaural reproduction,NEW,
Spatial Hearing & Localization,Center Image Collapse,NEW,
Spatial Hearing & Localization,Channel-Based Audio,NEW,
Spatial Hearing & Localization,Cone of Confusion,NEW,
Spatial Hearing & Localization,Coverage Pattern,NEW,
Spatial Hearing & Localization,Crosstalk,EXISTS,"Audio Measurement & Optimization, Connectors & I/O Connections, Signal Path & Levels, Troubleshooting"
Spatial Hearing & Localization,Crosstalk Cancellation,NEW,
Spatial Hearing & Localization,Depth Perception,NEW,
Spatial Hearing & Localization,Distance perception,NEW,
Spatial Hearing & Localization,Doppler Effect,EXISTS,Sound & Acoustics
Spatial Hearing & Localization,Dummy Head Recording,NEW,
Spatial Hearing & Localization,Dynamic Localization,NEW,
Spatial Hearing & Localization,Early Reflections,NEW,
Spatial Hearing & Localization,Elevation,NEW,
Spatial Hearing & Localization,Elevation Angle,NEW,
Spatial Hearing & Localization,Elevation Perception,NEW,
Spatial Hearing & Localization,Externalization,NEW,
Spatial Hearing & Localization,Front–back confusion,NEW,
Spatial Hearing & Localization,Fusion Zone,NEW,
Spatial Hearing & Localization,Head Rotation Compensation,NEW,
Spatial Hearing & Localization,Head Shadow Effect,NEW,
Spatial Hearing & Localization,Head tracking,NEW,
Spatial Hearing & Localization,Head-related impulse response (HRIR),NEW,
Spatial Hearing & Localization,Head-related transfer function (HRTF),NEW,
Spatial Hearing & Localization,Horizontal Localization,NEW,
Spatial Hearing & Localization,Horizontal Plane,NEW,
Spatial Hearing & Localization,Image shift,NEW,
Spatial Hearing & Localization,Image stability,NEW,
Spatial Hearing & Localization,Immersion,NEW,
Spatial Hearing & Localization,Immersive Audio,EXISTS,Film & Game Audio
Spatial Hearing & Localization,In-head localization,NEW,
Spatial Hearing & Localization,Interaural cross-correlation (IACC),NEW,
Spatial Hearing & Localization,Interaural level difference (ILD),EXISTS,Sound & Acoustics
Spatial Hearing & Localization,Interaural Phase Difference (IPD),NEW,
Spatial Hearing & Localization,Interaural time difference (ITD),EXISTS,Sound & Acoustics
Spatial Hearing & Localization,Internalization,NEW,
Spatial Hearing & Localization,Late Reflections,NEW,
Spatial Hearing & Localization,Listener envelopment (LEV),NEW,
Spatial Hearing & Localization,Listening Window,NEW,
Spatial Hearing & Localization,Localization blur,NEW,
Spatial Hearing & Localization,Localization Cue,NEW,
Spatial Hearing & Localization,Localization Dominance,NEW,
Spatial Hearing & Localization,Localization Error,NEW,
Spatial Hearing & Localization,Median plane,NEW,
Spatial Hearing & Localization,Monaural Localization,NEW,
Spatial Hearing & Localization,Monaural spectral cue,NEW,
Spatial Hearing & Localization,Motion parallax,NEW,
Spatial Hearing & Localization,Motion Tracking,NEW,
Spatial Hearing & Localization,Object-Based Audio,EXISTS,"Amps & Loudspeakers, Film & Game Audio"
Spatial Hearing & Localization,Off-Axis Listening,NEW,
Spatial Hearing & Localization,Phantom center,EXISTS,Recording Arts
Spatial Hearing & Localization,Phantom Image,NEW,
Spatial Hearing & Localization,Pinna Cues,NEW,
Spatial Hearing & Localization,Reverberation Field,NEW,
Spatial Hearing & Localization,Sagittal Plane,NEW,
Spatial Hearing & Localization,Sound localization,EXISTS,Sound & Acoustics
Spatial Hearing & Localization,Source Distance Cue,NEW,
Spatial Hearing & Localization,Source Motion Perception,NEW,
Spatial Hearing & Localization,Spaciousness,NEW,
Spatial Hearing & Localization,Spatial Audio,EXISTS,"Amps & Loudspeakers, Film & Game Audio"
Spatial Hearing & Localization,Spatial Coherence,NEW,
Spatial Hearing & Localization,Spatial Hearing,NEW,
Spatial Hearing & Localization,Spatial Resolution,NEW,
Spatial Hearing & Localization,Spatial Translation,NEW,
Spatial Hearing & Localization,Spectral Localization,NEW,
Spatial Hearing & Localization,Stereo Depth,NEW,
Spatial Hearing & Localization,Stereo Height,NEW,
Spatial Hearing & Localization,Stereo image,EXISTS,"Mastering, Mixers & Recorders, Mixing"
Spatial Hearing & Localization,Stereo Width,EXISTS,"Mixing, Recording Arts"
Spatial Hearing & Localization,Sweet spot,EXISTS,"Amps & Loudspeakers, Audio Measurement & Optimization, Sound & Acoustics"
Spatial Hearing & Localization,Transaural reproduction,NEW,
Spatial Hearing & Localization,Vertical Localization,NEW,
Spatial Hearing & Localization,Virtual Surround,NEW,
Speech Intelligibility,Acoustic Feedback,NEW,
Speech Intelligibility,Affricates,NEW,
Speech Intelligibility,Announcement Intelligibility,NEW,
Speech Intelligibility,Articulation,EXISTS,Plugins & Virtual Instruments
Speech Intelligibility,Articulation loss of consonants (%ALcons),NEW,
Speech Intelligibility,Audibility,NEW,
Speech Intelligibility,Audio description,NEW,
Speech Intelligibility,Auditory Attention,NEW,
Speech Intelligibility,Auditory-visual synchronization,NEW,
Speech Intelligibility,Captioning,NEW,
Speech Intelligibility,Center-channel dialogue anchoring,NEW,
Speech Intelligibility,CIS (Common Intelligibility Scale),EXISTS,"Audio Measurement & Optimization, Documentation & Diagrams"
Speech Intelligibility,Clarity Index (C50),NEW,
Speech Intelligibility,Cognitive Load,NEW,
Speech Intelligibility,Consonant intelligibility,NEW,
Speech Intelligibility,Coverage Uniformity,NEW,
Speech Intelligibility,Critical distance,EXISTS,"Recording Arts, Room Acoustics, Sound & Acoustics"
Speech Intelligibility,Delay Speaker,NEW,
Speech Intelligibility,Dialogue intelligibility,EXISTS,Film & Game Audio
Speech Intelligibility,Dialogue-to-background balance,NEW,
Speech Intelligibility,Dialogue-to-Background Ratio,NEW,
Speech Intelligibility,Diction,NEW,
Speech Intelligibility,Direct Sound,EXISTS,"Recording Arts, Room Acoustics, Sound & Acoustics"
Speech Intelligibility,Direct-to-reverberant ratio,EXISTS,Reverb & Delay
Speech Intelligibility,Distributed Loudspeaker System,NEW,
Speech Intelligibility,Early Decay Time (EDT),EXISTS,Room Acoustics
Speech Intelligibility,Early-to-late energy ratio,NEW,
Speech Intelligibility,Echo,EXISTS,"DAW Skills, Reverb & Delay, Sound & Acoustics"
Speech Intelligibility,Emergency Voice Communication,NEW,
Speech Intelligibility,Enunciation,NEW,
Speech Intelligibility,Flutter Echo,EXISTS,"Ear Training, Room Acoustics, Sound & Acoustics, Troubleshooting"
Speech Intelligibility,Formant,NEW,
Speech Intelligibility,Fricatives,NEW,
Speech Intelligibility,Front Fill,EXISTS,Loudspeaker System Deployment
Speech Intelligibility,Gain before feedback,EXISTS,"Audio Measurement & Optimization, Troubleshooting"
Speech Intelligibility,Lip-sync error,NEW,
Speech Intelligibility,Listener Effort,NEW,
Speech Intelligibility,Lombard effect,NEW,
Speech Intelligibility,Loudspeaker Directivity,NEW,
Speech Intelligibility,Masking,EXISTS,"Mixing, Sound & Acoustics"
Speech Intelligibility,Microphone-to-Talker Distance,NEW,
Speech Intelligibility,Off-Axis Speech Pickup,NEW,
Speech Intelligibility,Paging System,EXISTS,"Audio System Design, Commercial Audio Systems"
Speech Intelligibility,Pausing,NEW,
Speech Intelligibility,Phoneme,NEW,
Speech Intelligibility,Plosives,NEW,
Speech Intelligibility,Presence Region,EXISTS,Ear Training
Speech Intelligibility,Public Address (PA) Speech Reinforcement,NEW,
Speech Intelligibility,Reflected Sound,EXISTS,Recording Arts
Speech Intelligibility,Reverberant masking,NEW,
Speech Intelligibility,Reverberation Time (RT60),EXISTS,"Audio Measurement & Optimization, Reverb & Delay, Room Acoustics"
Speech Intelligibility,Sibilance,EXISTS,"Dynamics Processing, Microphones, Mixing, Recording Arts"
Speech Intelligibility,Signal-to-Masker Ratio,NEW,
Speech Intelligibility,Speech clarity,NEW,
Speech Intelligibility,Speech Discrimination,NEW,
Speech Intelligibility,Speech Equalization,NEW,
Speech Intelligibility,Speech intelligibility,EXISTS,"Commercial Audio Systems, Room Acoustics, Sound & Acoustics"
Speech Intelligibility,Speech Optimization,NEW,
Speech Intelligibility,Speech Perception,NEW,
Speech Intelligibility,Speech Rate,NEW,
Speech Intelligibility,Speech Recognition,NEW,
Speech Intelligibility,Speech reinforcement,EXISTS,Assisted Listening Systems
Speech Intelligibility,Speech Spectrum,NEW,
Speech Intelligibility,Speech transmission index (STI),NEW,
Speech Intelligibility,Speech-in-Noise Performance,NEW,
Speech Intelligibility,STIPA,EXISTS,Audio Measurement & Optimization
Speech Intelligibility,Talker-to-microphone distance,NEW,
Speech Intelligibility,Under-Balcony Fill,NEW,
Speech Intelligibility,Vocal effort,NEW,
Speech Intelligibility,Vocal Fundamentals,NEW,
Speech Intelligibility,Vocal Harmonics,NEW,
Speech Intelligibility,Vocal Projection,NEW,
Speech Intelligibility,Voice Alarm System,NEW,
Speech Intelligibility,Voice Lift System,NEW,
Speech Intelligibility,Vowel audibility,NEW,
Speech Intelligibility,Vowel Intelligibility,NEW,
Loudness & Listening Level,Acoustic Calibration,NEW,
Loudness & Listening Level,Amplification,NEW,
Loudness & Listening Level,Attenuation,NEW,
Loudness & Listening Level,Audience Exposure Level,NEW,
Loudness & Listening Level,Audience Listening Level,NEW,
Loudness & Listening Level,Automatic Gain Control (AGC),EXISTS,Dynamics Processing
Loudness & Listening Level,Automatic Level Control (ALC),NEW,
Loudness & Listening Level,Average Level,NEW,
Loudness & Listening Level,Calibration Signal,NEW,
Loudness & Listening Level,Clipping,EXISTS,"Mastering, Mixers & Recorders, Mixing, Signal Path & Levels"
Loudness & Listening Level,Comfortable Listening Level,NEW,
Loudness & Listening Level,Compression,EXISTS,Sound & Acoustics
Loudness & Listening Level,Crest Factor,EXISTS,"Dynamics Processing, Mastering, Mixing, Recording Arts, Signal Path & Levels"
Loudness & Listening Level,Critical Listening Level,NEW,
Loudness & Listening Level,Dialogue Anchor,NEW,
Loudness & Listening Level,Dialogue Loudness,NEW,
Loudness & Listening Level,Expansion,NEW,
Loudness & Listening Level,Fletcher–Munson Effect,NEW,
Loudness & Listening Level,Front-of-House Listening Level,NEW,
Loudness & Listening Level,Gain Control,NEW,
Loudness & Listening Level,Gain Staging,EXISTS,"DAW Skills, Mixing, Recording Arts, Signal Path & Levels, Troubleshooting"
Loudness & Listening Level,Headroom,EXISTS,"Mastering, Mixers & Recorders, Mixing, Signal Path & Levels, Troubleshooting"
Loudness & Listening Level,Integrated Loudness,EXISTS,"Audio Measurement & Optimization, Podcasting & Broadcast Audio"
Loudness & Listening Level,Intersample Peak,NEW,
Loudness & Listening Level,Level Translation,NEW,
Loudness & Listening Level,Limiting,EXISTS,Mastering
Loudness & Listening Level,Listener Comfort Range,NEW,
Loudness & Listening Level,Listening Dose,NEW,
Loudness & Listening Level,Listening Level,NEW,
Loudness & Listening Level,Listening Level Optimization,NEW,
Loudness & Listening Level,Listening Margin,NEW,
Loudness & Listening Level,Loud Listening,NEW,
Loudness & Listening Level,Loudness Adaptation,NEW,
Loudness & Listening Level,Loudness Compensation,NEW,
Loudness & Listening Level,Loudness Compliance,NEW,
Loudness & Listening Level,Loudness Consistency,NEW,
Loudness & Listening Level,Loudness Fatigue,NEW,
Loudness & Listening Level,Loudness Growth,NEW,
Loudness & Listening Level,Loudness Management,NEW,
Loudness & Listening Level,Loudness Meter,EXISTS,"Audio Measurement & Optimization, Mixing, Sound & Acoustics"
Loudness & Listening Level,Loudness Normalization Target,NEW,
Loudness & Listening Level,Loudness Range (LRA),NEW,
Loudness & Listening Level,Loudness Unit (LU),NEW,
Loudness & Listening Level,Loudness Units Relative to Full Scale (LUFS),NEW,
Loudness & Listening Level,Meter Ballistics,EXISTS,Signal Path & Levels
Loudness & Listening Level,Meter Integration Time,NEW,
Loudness & Listening Level,Moderate Listening Level,NEW,
Loudness & Listening Level,Momentary Loudness,NEW,
Loudness & Listening Level,Monitor Calibration Level,NEW,
Loudness & Listening Level,Peak Level,EXISTS,"Dynamics Processing, Mixers & Recorders, Mixing, Signal Path & Levels, Troubleshooting"
Loudness & Listening Level,Peak Meter,NEW,
Loudness & Listening Level,Peak Normalization,NEW,
Loudness & Listening Level,Perceived Volume,NEW,
Loudness & Listening Level,Playback Level,NEW,
Loudness & Listening Level,PPM (Peak Programme Meter),EXISTS,"Audio Measurement & Optimization, Podcasting & Broadcast Audio"
Loudness & Listening Level,Program Loudness,NEW,
Loudness & Listening Level,Quiet Listening,NEW,
Loudness & Listening Level,Reference Pink Noise Level,NEW,
Loudness & Listening Level,ReplayGain,NEW,
Loudness & Listening Level,RMS Level,NEW,
Loudness & Listening Level,RMS Meter,NEW,
Loudness & Listening Level,Short-Term Loudness,NEW,
Loudness & Listening Level,Sound Pressure Level (SPL),NEW,
Loudness & Listening Level,True Peak,EXISTS,"Audio Measurement & Optimization, Mastering, Podcasting & Broadcast Audio, Signal Path & Levels"
Loudness & Listening Level,Volume Control,NEW,
Loudness & Listening Level,Volume Normalization,NEW,
Loudness & Listening Level,Volume Preference,NEW,
Loudness & Listening Level,VU Meter,EXISTS,"Audio Measurement & Optimization, Mixers & Recorders, Mixing, Signal Path & Levels"
Listening Environments & Audience Experience,Acoustic Comfort,NEW,
Listening Environments & Audience Experience,Acoustic Dead Zone,NEW,
Listening Environments & Audience Experience,Acoustic Hot Spot,NEW,
Listening Environments & Audience Experience,Adaptive Listening Environment,NEW,
Listening Environments & Audience Experience,Ambient Noise,EXISTS,"Room Acoustics, Sound & Acoustics"
Listening Environments & Audience Experience,Audience Absorption,EXISTS,Room Acoustics
Listening Environments & Audience Experience,Audience Accessibility,NEW,
Listening Environments & Audience Experience,Audience Area,NEW,
Listening Environments & Audience Experience,Audience Coverage,NEW,
Listening Environments & Audience Experience,Audience Density,NEW,
Listening Environments & Audience Experience,Audience Expectation,NEW,
Listening Environments & Audience Experience,Audience Experience,EXISTS,Film & Game Audio
Listening Environments & Audience Experience,Audience Experience Optimization,NEW,
Listening Environments & Audience Experience,Audience Intelligibility,NEW,
Listening Environments & Audience Experience,Audience Perspective,NEW,
Listening Environments & Audience Experience,Background Music Environment,NEW,
Listening Environments & Audience Experience,Background Noise Floor,NEW,
Listening Environments & Audience Experience,Balcony Listening,NEW,
Listening Environments & Audience Experience,Casual Listening Environment,NEW,
Listening Environments & Audience Experience,Critical Listening Environment,NEW,
Listening Environments & Audience Experience,Empty Room Response,NEW,
Listening Environments & Audience Experience,Environmental Adaptation,NEW,
Listening Environments & Audience Experience,Environmental Noise,NEW,
Listening Environments & Audience Experience,Environmental Translation,NEW,
Listening Environments & Audience Experience,Farfield Listening,NEW,
Listening Environments & Audience Experience,Foreground Listening Environment,NEW,
Listening Environments & Audience Experience,Front Row Experience,NEW,
Listening Environments & Audience Experience,HVAC Noise,EXISTS,"Audio Measurement & Optimization, Documentation & Diagrams, Room Acoustics"
Listening Environments & Audience Experience,Intimacy,NEW,
Listening Environments & Audience Experience,Listener Height,NEW,
Listening Environments & Audience Experience,Listener Satisfaction,NEW,
Listening Environments & Audience Experience,Listening Area,NEW,
Listening Environments & Audience Experience,Listening Consistency,NEW,
Listening Environments & Audience Experience,Listening Distance,NEW,
Listening Environments & Audience Experience,Listening Engagement,NEW,
Listening Environments & Audience Experience,Listening Environment,NEW,
Listening Environments & Audience Experience,Listening Quality Assessment,NEW,
Listening Environments & Audience Experience,Midfield Listening,NEW,
Listening Environments & Audience Experience,Multi-Purpose Space,NEW,
Listening Environments & Audience Experience,Nearfield Listening,NEW,
Listening Environments & Audience Experience,Noise Intrusion,NEW,
Listening Environments & Audience Experience,Occupancy Noise,NEW,
Listening Environments & Audience Experience,Occupied Room Response,NEW,
Listening Environments & Audience Experience,On-Axis Listening,NEW,
Listening Environments & Audience Experience,Perceived Audio Quality,NEW,
Listening Environments & Audience Experience,Personal Listening Space,NEW,
Listening Environments & Audience Experience,Preferred Listening Level,NEW,
Listening Environments & Audience Experience,Primary Listening Position (PLP),NEW,
Listening Environments & Audience Experience,Rear Seating Experience,NEW,
Listening Environments & Audience Experience,Reverberant Field,EXISTS,"Reverb & Delay, Room Acoustics"
Listening Environments & Audience Experience,Room Ambience,NEW,
Listening Environments & Audience Experience,Seat-to-Seat Consistency,NEW,
Listening Environments & Audience Experience,Seated Listener,NEW,
Listening Environments & Audience Experience,Shadow Zone,NEW,
Listening Environments & Audience Experience,Shared Listening Environment,NEW,
Listening Environments & Audience Experience,Sound Privacy,NEW,
Listening Environments & Audience Experience,Speech Privacy,EXISTS,Commercial Audio Systems
Listening Environments & Audience Experience,Standing Listener,NEW,
Listening Environments & Audience Experience,Traffic Noise,NEW,
Listening Environments & Audience Experience,Under-Balcony Listening,NEW,
Music Perception,Absolute Pitch,NEW,
Music Perception,Audiation,NEW,
Music Perception,Beat Induction,NEW,
Music Perception,Beat Perception,NEW,
Music Perception,Beat Salience,NEW,
Music Perception,Beat Tracking,NEW,
Music Perception,Cadence Perception,NEW,
Music Perception,Chord Inversion Perception,NEW,
Music Perception,Chord Perception,NEW,
Music Perception,Chord Quality,NEW,
Music Perception,Chord Root Perception,NEW,
Music Perception,Chordal Roughness,NEW,
Music Perception,Compound Meter,NEW,
Music Perception,Contour Preservation,NEW,
Music Perception,Duple Meter,NEW,
Music Perception,Entrainment,NEW,
Music Perception,Groove Perception,NEW,
Music Perception,Harmonic Expectation,NEW,
Music Perception,Harmonic Function,NEW,
Music Perception,Harmonic Fusion,NEW,
Music Perception,Harmonic Progression,NEW,
Music Perception,Harmonic Resolution,NEW,
Music Perception,Harmonicity,NEW,
Music Perception,Harmony Perception,NEW,
Music Perception,Instrument Recognition,NEW,
Music Perception,Intonation Perception,NEW,
Music Perception,Key Perception,NEW,
Music Perception,Melodic Completion,NEW,
Music Perception,Melodic Contour,NEW,
Music Perception,Melodic Expectation,NEW,
Music Perception,Melodic Interval,NEW,
Music Perception,Melody Perception,NEW,
Music Perception,Meter Perception,NEW,
Music Perception,Metrical Accent,NEW,
Music Perception,Metrical Hierarchy,NEW,
Music Perception,Microtiming,NEW,
Music Perception,Motif Recognition,NEW,
Music Perception,Music Perception,NEW,
Music Perception,Musical Consonance,NEW,
Music Perception,Musical Dissonance,NEW,
Music Perception,Musical Expectancy,NEW,
Music Perception,Musical Form Perception,NEW,
Music Perception,Musical Imagery,NEW,
Music Perception,Musical Memory,NEW,
Music Perception,Musical Schema,NEW,
Music Perception,Musical Surprise,NEW,
Music Perception,Musical Syntax,NEW,
Music Perception,Octave Equivalence,NEW,
Music Perception,Phrase Perception,NEW,
Music Perception,Pitch Chroma,NEW,
Music Perception,Pitch Height,NEW,
Music Perception,Pitch-Class Perception,NEW,
Music Perception,Polyphonic Listening,NEW,
Music Perception,Polyrhythm Perception,NEW,
Music Perception,Pulse,NEW,
Music Perception,Relative Pitch,NEW,
Music Perception,Repetition Recognition,NEW,
Music Perception,Rhythmic Grouping,NEW,
Music Perception,Scale-Degree Perception,NEW,
Music Perception,Sensory Consonance,NEW,
Music Perception,Source–Instrument Segregation,NEW,
Music Perception,Statistical Learning in Music,NEW,
Music Perception,Stream Integration,NEW,
Music Perception,Structural Hearing,NEW,
Music Perception,Subjective Tempo,NEW,
Music Perception,Syncopation,NEW,
Music Perception,Tactus,NEW,
Music Perception,Tempo Perception,NEW,
Music Perception,Theme Recognition,NEW,
Music Perception,Tonal Center,NEW,
Music Perception,Tonal Closure,NEW,
Music Perception,Tonal Consonance,NEW,
Music Perception,Tonal Expectation,NEW,
Music Perception,Tonal Hierarchy,NEW,
Music Perception,Tonal Resolution,NEW,
Music Perception,Tonal Tension,NEW,
Music Perception,Transposition Recognition,NEW,
Music Perception,Triple Meter,NEW,
Music Perception,Tuning-System Perception,NEW,
Music Perception,Voice Leading Perception,NEW,
Voice & Vocal Perception,Amplification as Vocal Conservation,NEW,
Voice & Vocal Perception,Breathiness,NEW,
Voice & Vocal Perception,Chest Voice,NEW,
Voice & Vocal Perception,Falsetto,NEW,
Voice & Vocal Perception,First Formant (F1),NEW,
Voice & Vocal Perception,Foldback-Induced Strain,NEW,
Voice & Vocal Perception,Formant Pattern,NEW,
Voice & Vocal Perception,Formant Transition,NEW,
Voice & Vocal Perception,Fundamental Frequency of Voice,NEW,
Voice & Vocal Perception,Harmonic Structure of Voice,NEW,
Voice & Vocal Perception,Head Voice,NEW,
Voice & Vocal Perception,Higher Formants,NEW,
Voice & Vocal Perception,Hoarseness,NEW,
Voice & Vocal Perception,Lombard Response,NEW,
Voice & Vocal Perception,Mixed Voice,NEW,
Voice & Vocal Perception,Modal Register,NEW,
Voice & Vocal Perception,Nasal Resonance,NEW,
Voice & Vocal Perception,Passaggio,NEW,
Voice & Vocal Perception,Prosody,NEW,
Voice & Vocal Perception,Register Transition,NEW,
Voice & Vocal Perception,Resonant Voice,NEW,
Voice & Vocal Perception,Roughness,NEW,
Voice & Vocal Perception,Second Formant (F2),NEW,
Voice & Vocal Perception,Sidetone,NEW,
Voice & Vocal Perception,Singer’s Formant,NEW,
Voice & Vocal Perception,Source–Filter Theory,NEW,
Voice & Vocal Perception,Speaker Identification,NEW,
Voice & Vocal Perception,Spectral Tilt,NEW,
Voice & Vocal Perception,Strained Voice,NEW,
Voice & Vocal Perception,Tessitura,NEW,
Voice & Vocal Perception,Tremolo,EXISTS,Reverb & Delay
Voice & Vocal Perception,Vibrato,EXISTS,Reverb & Delay
Voice & Vocal Perception,Vocal Age Perception,NEW,
Voice & Vocal Perception,Vocal Authenticity,NEW,
Voice & Vocal Perception,Vocal Break,NEW,
Voice & Vocal Perception,Vocal Clarity,NEW,
Voice & Vocal Perception,Vocal Effort,NEW,
Voice & Vocal Perception,Vocal Expression,NEW,
Voice & Vocal Perception,Vocal Fatigue,NEW,
Voice & Vocal Perception,Vocal Formant,NEW,
Voice & Vocal Perception,Vocal Fry,NEW,
Voice & Vocal Perception,Vocal Gender Perception,NEW,
Voice & Vocal Perception,Vocal Intelligibility,NEW,
Voice & Vocal Perception,Vocal Intensity,NEW,
Voice & Vocal Perception,Vocal Loudness,NEW,
Voice & Vocal Perception,Vocal Masking,NEW,
Voice & Vocal Perception,Vocal Naturalness,NEW,
Voice & Vocal Perception,Vocal Pitch,NEW,
Voice & Vocal Perception,Vocal Presence,NEW,
Voice & Vocal Perception,Vocal Projection,NEW,
Voice & Vocal Perception,Vocal Range,NEW,
Voice & Vocal Perception,Vocal Register,NEW,
Voice & Vocal Perception,Vocal Resonance,NEW,
Voice & Vocal Perception,Vocal Timbre,NEW,
Voice & Vocal Perception,Voice and Vocal Perception,NEW,
