term,status,current_topics
Single Number Rating (SNR),NEW,
Single-Variable Evaluation,NEW,
Slam,NEW,
Small Speaker Check,NEW,
Smart Speaker,EXISTS,Consumer Audio Systems
Smartphone Audio,NEW,
Smearing,NEW,
Smoothness,NEW,
Solo Listening,NEW,
Solo Monitoring,NEW,
Sone,NEW,
Sonic Memory,NEW,
Sound Exposure,NEW,
Sound Exposure Level (SEL),NEW,
Sound Level Logging,NEW,
Sound Level Meter (SLM),NEW,
Sound localization,EXISTS,Sound & Acoustics
Sound Pressure Level (SPL),NEW,
Sound Privacy,NEW,
Sound Quality,NEW,
Soundbar,EXISTS,"Amps & Loudspeakers, Consumer Audio Systems, Loudspeaker System Deployment"
Soundstage,EXISTS,Consumer Audio Systems
Soundstage Depth,NEW,
Soundstage Height,NEW,
Soundstage Width,NEW,
Source Distance Cue,NEW,
Source Identification,NEW,
Source Motion Perception,NEW,
Space,NEW,
Spaciousness,NEW,
Spatial Audio,EXISTS,"Amps & Loudspeakers, Film & Game Audio"
Spatial Coherence,NEW,
Spatial Hearing,NEW,
Spatial Memory,NEW,
Spatial Perception,NEW,
Spatial release from masking,NEW,
Spatial Resolution,NEW,
Spatial Translation,NEW,
Speaker Geometry,NEW,
Spectral Balance,NEW,
Spectral Localization,NEW,
Spectral masking,NEW,
Spectral Sensitivity,NEW,
Speech audiometry,NEW,
Speech clarity,NEW,
Speech Discrimination,NEW,
Speech Equalization,NEW,
Speech Evaluation,NEW,
Speech intelligibility,EXISTS,"Commercial Audio Systems, Room Acoustics, Sound & Acoustics"
Speech Optimization,NEW,
Speech Optimization for Accessibility,NEW,
Speech Perception,NEW,
Speech Privacy,EXISTS,Commercial Audio Systems
Speech Rate,NEW,
Speech reception threshold (SRT),NEW,
Speech Recognition,NEW,
Speech reinforcement,EXISTS,Assisted Listening Systems
Speech Spectrum,NEW,
Speech transmission index (STI),NEW,
Speech-in-Noise Performance,NEW,
Speech-in-noise test,NEW,
Speech-in-Noise Testing,NEW,
Speech-to-noise ratio,NEW,
Speed,NEW,
Staff Accessibility Training,NEW,
Stage Noise Management,NEW,
Standard threshold shift (STS),NEW,
Standing Listener,NEW,
Statistical significance,NEW,
Stereo Balance,NEW,
Stereo Depth,NEW,
Stereo Height,NEW,
Stereo image,EXISTS,"Mastering, Mixers & Recorders, Mixing"
Stereo Image Evaluation,NEW,
Stereo Imaging,NEW,
Stereo Pair,EXISTS,"Band Recording and Production, Recording Arts"
Stereo System,NEW,
Stereo Width,EXISTS,"Mixing, Recording Arts"
Stereo Width Evaluation,NEW,
STIPA,EXISTS,Audio Measurement & Optimization
Stream segregation,NEW,
Streaming Audio,NEW,
Studio Monitor,EXISTS,Amps & Loudspeakers
Subjective Audio Evaluation,NEW,
Subjective Evaluation,NEW,
Subwoofer,EXISTS,"Amps & Loudspeakers, Audio System Design, Commercial Audio Systems, Film & Game Audio, Loudspeaker System Deployment"
Sudden sensorineural hearing loss,NEW,
Sustain,EXISTS,Synthesis
Sweet spot,EXISTS,"Amps & Loudspeakers, Audio Measurement & Optimization, Sound & Acoustics"
Symmetrical Listening Position,NEW,
System Evaluation,NEW,
Tablet Audio,NEW,
Talker-to-microphone distance,NEW,
Telecoil (T-Coil),EXISTS,Assisted Listening Systems
Television Audio,NEW,
Temperament,NEW,
Tempo perception,NEW,
Temporal Filling-In,NEW,
Temporal integration,NEW,
Temporal masking,NEW,
Temporal Perception,NEW,
Temporal resolution,NEW,
Temporal smearing,NEW,
Temporary threshold shift (TTS),NEW,
Temporary tinnitus,NEW,
Test Signal,NEW,
Texture,NEW,
Thinness,NEW,
Threshold of audibility,NEW,
Threshold of Pain,EXISTS,Sound & Acoustics
Threshold shift,NEW,
Timbre,EXISTS,"Recording Arts, Sound & Acoustics, Synthesis"
Timbre Perception,NEW,
Time-Weighted Average (TWA),EXISTS,Professional Audio Safety
Tinnitus,EXISTS,Sound & Acoustics
Tonal Balance,EXISTS,Mastering
Tonal Memory,NEW,
Tonality,NEW,
Tonotopic organization,NEW,
Traffic Noise,NEW,
Trained Listener,NEW,
Training trial,NEW,
Transaural reproduction,NEW,
Transient,EXISTS,"Dynamics Processing, Sampling, Sound & Acoustics"
Transient Evaluation,NEW,
Transient Response,EXISTS,"Audio Measurement & Optimization, Dynamics Processing, Recording Arts"
Translation,EXISTS,"Film & Game Audio, Mastering, Mixing"
Translation Evaluation,NEW,
Translation Verification,NEW,
Transparency,NEW,
Transparency Mode,NEW,
Transportation Accessibility,NEW,
Triangle test,NEW,
Tritone Paradox,NEW,
True Peak,EXISTS,"Audio Measurement & Optimization, Mastering, Podcasting & Broadcast Audio, Signal Path & Levels"
Tuning reference,NEW,
Tympanic membrane,NEW,
Uncomfortable loudness level (UCL/LDL),NEW,
Under-Balcony Fill,NEW,
Under-Balcony Listening,NEW,
Underprotection,NEW,
Universal Design,EXISTS,Assisted Listening Systems
Upward spread of masking,NEW,
Verbal Transformation Effect,NEW,
Vertical Localization,NEW,
Vibrato perception,NEW,
Virtual Pitch,NEW,
Virtual Surround,NEW,
Visual Bias,NEW,
Vocal effort,NEW,
Vocal Fundamentals,NEW,
Vocal Harmonics,NEW,
Vocal Projection,NEW,
Voice Alarm System,NEW,
Voice Assistant,NEW,
Voice Familiarization,NEW,
Voice Lift System,NEW,
Volume Control,NEW,
Volume Limiting,NEW,
Volume Normalization,NEW,
Volume Preference,NEW,
Vowel audibility,NEW,
Vowel Intelligibility,NEW,
VU Meter,EXISTS,"Audio Measurement & Optimization, Mixers & Recorders, Mixing, Signal Path & Levels"
Warmth,EXISTS,Recording Arts
Weber’s Law,NEW,
Wet Sound,NEW,
Whole-House Audio,NEW,
Width,NEW,
Wireless Headphones,NEW,
Wireless Range,NEW,
Word-recognition score,NEW,
Worship Accessibility,NEW,
Zone Audio,NEW,
