term,landing_topic,status,source_batch
Essence container,Archival Preservation & Obsolete Media,NEW,Batch 1
Ingest validation,Archival Preservation & Obsolete Media,NEW,Batch 1
Archival ingest,Archival Preservation & Obsolete Media,NEW,Batch 1
Content Information,Archival Preservation & Obsolete Media,NEW,Batch 1
Preservation Description Information,Archival Preservation & Obsolete Media,NEW,Batch 1
Reference information,Archival Preservation & Obsolete Media,NEW,Batch 1
Context information,Archival Preservation & Obsolete Media,NEW,Batch 1
Provenance information,Archival Preservation & Obsolete Media,NEW,Batch 1
Fixity information,Archival Preservation & Obsolete Media,NEW,Batch 1
Designated community,Archival Preservation & Obsolete Media,NEW,Batch 1
Independent understandability,Archival Preservation & Obsolete Media,NEW,Batch 1
Repository succession plan,Archival Preservation & Obsolete Media,NEW,Batch 1
Remanence,Analog Tape / Tape Machines,EXISTING,Batch 1
Retentivity,Analog Tape / Tape Machines,EXISTING,Batch 1
Coercivity,Analog Tape / Tape Machines,EXISTING,Batch 1
Intrinsic coercivity,Analog Tape / Tape Machines,EXISTING,Batch 1
Saturation magnetization,Analog Tape / Tape Machines,EXISTING,Batch 1
Saturation remanence,Analog Tape / Tape Machines,EXISTING,Batch 1
Magnetic hysteresis,Analog Tape / Tape Machines,EXISTING,Batch 1
Hysteresis loop,Analog Tape / Tape Machines,EXISTING,Batch 1
Anhysteretic recording,Analog Tape / Tape Machines,EXISTING,Batch 1
Anhysteretic remanence,Analog Tape / Tape Machines,EXISTING,Batch 1
Domain orientation,Analog Tape / Tape Machines,EXISTING,Batch 1
Particle orientation,Analog Tape / Tape Machines,EXISTING,Batch 1
Orientation ratio,Analog Tape / Tape Machines,EXISTING,Batch 1
Switching-field distribution,Analog Tape / Tape Machines,EXISTING,Batch 1
Magnetization transition,Analog Tape / Tape Machines,EXISTING,Batch 1
Transition crowding,Analog Tape / Tape Machines,EXISTING,Batch 1
Self-demagnetization,Analog Tape / Tape Machines,EXISTING,Batch 1
Thickness loss,Analog Tape / Tape Machines,EXISTING,Batch 1
Wavelength response,Analog Tape / Tape Machines,EXISTING,Batch 1
Recorded wavelength,Analog Tape / Tape Machines,EXISTING,Batch 1
AC bias,Analog Tape / Tape Machines,EXISTING,Batch 1
Bias frequency,Analog Tape / Tape Machines,EXISTING,Batch 1
Bias current,Analog Tape / Tape Machines,EXISTING,Batch 1
Optimum bias,Analog Tape / Tape Machines,EXISTING,Batch 1
Overbias,Analog Tape / Tape Machines,EXISTING,Batch 1
Underbias,Analog Tape / Tape Machines,EXISTING,Batch 1
Overbias curve,Analog Tape / Tape Machines,EXISTING,Batch 1
Bias null,Analog Tape / Tape Machines,EXISTING,Batch 1
Bias trap,Analog Tape / Tape Machines,EXISTING,Batch 1
Bias feedthrough,Analog Tape / Tape Machines,EXISTING,Batch 1
Bias rocks,Analog Tape / Tape Machines,EXISTING,Batch 1
Bias compatibility,Analog Tape / Tape Machines,EXISTING,Batch 1
Erase depth,Analog Tape / Tape Machines,EXISTING,Batch 1
Erasure ratio,Analog Tape / Tape Machines,EXISTING,Batch 1
Incomplete erasure,Analog Tape / Tape Machines,EXISTING,Batch 1
Erase-field penetration,Analog Tape / Tape Machines,EXISTING,Batch 1
DC erasure,Analog Tape / Tape Machines,EXISTING,Batch 1
Bulk erasure,Analog Tape / Tape Machines,EXISTING,Batch 1
Degausser dwell,Analog Tape / Tape Machines,EXISTING,Batch 1
Degausser withdrawal,Analog Tape / Tape Machines,EXISTING,Batch 1
Reference fluxivity,Analog Tape / Tape Machines,EXISTING,Batch 1
Magnetic fluxivity,Analog Tape / Tape Machines,EXISTING,Batch 1
Elevated operating level,Analog Tape / Tape Machines,EXISTING,Batch 1
Standard reference level,Analog Tape / Tape Machines,EXISTING,Batch 1
Tape sensitivity,Analog Tape / Tape Machines,EXISTING,Batch 1
Relative tape sensitivity,Analog Tape / Tape Machines,EXISTING,Batch 1
Reference tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Reproducer test tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Multifrequency alignment tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Short-wavelength level,Analog Tape / Tape Machines,EXISTING,Batch 1
Long-wavelength level,Analog Tape / Tape Machines,EXISTING,Batch 1
Maximum output level,Analog Tape / Tape Machines,EXISTING,Batch 1
Maximum output level at 3% distortion,Analog Tape / Tape Machines,EXISTING,Batch 1
Saturation output,Analog Tape / Tape Machines,EXISTING,Batch 1
Saturation output level,Analog Tape / Tape Machines,EXISTING,Batch 1
Tape headroom,Analog Tape / Tape Machines,EXISTING,Batch 1
Modulation noise,Analog Tape / Tape Machines,EXISTING,Batch 1
DC noise,Analog Tape / Tape Machines,EXISTING,Batch 1
Erased-tape noise,Analog Tape / Tape Machines,EXISTING,Batch 1
Bulk-erased noise,Analog Tape / Tape Machines,EXISTING,Batch 1
Weighted tape noise,Analog Tape / Tape Machines,EXISTING,Batch 1
Print-through ratio,Analog Tape / Tape Machines,EXISTING,Batch 1
IEC1 equalization,Analog Tape / Tape Machines,EXISTING,Batch 1
IEC2 equalization,Analog Tape / Tape Machines,EXISTING,Batch 1
CCIR equalization,Analog Tape / Tape Machines,EXISTING,Batch 1
NAB equalization,Analog Tape / Tape Machines,EXISTING,Batch 1
NARTB equalization,Analog Tape / Tape Machines,EXISTING,Batch 1
DIN tape equalization,Analog Tape / Tape Machines,EXISTING,Batch 1
AES equalization,Analog Tape / Tape Machines,EXISTING,Batch 1
NagraMaster equalization,Analog Tape / Tape Machines,EXISTING,Batch 1
Ampex Master Equalization,Analog Tape / Tape Machines,EXISTING,Batch 1
House equalization,Analog Tape / Tape Machines,EXISTING,Batch 1
Replay time constant,Analog Tape / Tape Machines,EXISTING,Batch 1
Infinite low-frequency time constant,Analog Tape / Tape Machines,EXISTING,Batch 1
Equalization ambiguity,Analog Tape / Tape Machines,EXISTING,Batch 1
Equalization misdecode,Analog Tape / Tape Machines,EXISTING,Batch 1
Head bump,Analog Tape / Tape Machines,EXISTING,Batch 1
Head contour resonance,Analog Tape / Tape Machines,EXISTING,Batch 1
Pole-tip recession,Analog Tape / Tape Machines,EXISTING,Batch 1
Head-face grooving,Analog Tape / Tape Machines,EXISTING,Batch 1
Differential head wear,Analog Tape / Tape Machines,EXISTING,Batch 1
Gap erosion,Analog Tape / Tape Machines,EXISTING,Batch 1
Gap-length loss,Analog Tape / Tape Machines,EXISTING,Batch 1
Gap-azimuth interaction,Analog Tape / Tape Machines,EXISTING,Batch 1
Vertex adjustment,Analog Tape / Tape Machines,EXISTING,Batch 1
Head penetration,Analog Tape / Tape Machines,EXISTING,Batch 1
Contact loss,Analog Tape / Tape Machines,EXISTING,Batch 1
Contact-loss dropout,Analog Tape / Tape Machines,EXISTING,Batch 1
Tape tenting,Analog Tape / Tape Machines,EXISTING,Batch 1
Head clogging,Analog Tape / Tape Machines,EXISTING,Batch 1
Pole-piece magnetization,Analog Tape / Tape Machines,EXISTING,Batch 1
Remanent head field,Analog Tape / Tape Machines,EXISTING,Batch 1
Head-field asymmetry,Analog Tape / Tape Machines,EXISTING,Batch 1
Full-track mono,Analog Tape / Tape Machines,EXISTING,Batch 1
Half-track mono,Analog Tape / Tape Machines,EXISTING,Batch 1
Half-track stereo,Analog Tape / Tape Machines,EXISTING,Batch 1
Quarter-track stereo,Analog Tape / Tape Machines,EXISTING,Batch 1
Twin-track,Analog Tape / Tape Machines,EXISTING,Batch 1
Staggered-head stereo,Analog Tape / Tape Machines,EXISTING,Batch 1
Inline-head stereo,Analog Tape / Tape Machines,EXISTING,Batch 1
Stagger offset,Analog Tape / Tape Machines,EXISTING,Batch 1
Stagger correction,Analog Tape / Tape Machines,EXISTING,Batch 1
Track sense,Analog Tape / Tape Machines,EXISTING,Batch 1
Track assignment,Analog Tape / Tape Machines,EXISTING,Batch 1
Track configuration,Analog Tape / Tape Machines,EXISTING,Batch 1
Track pitch,Analog Tape / Tape Machines,EXISTING,Batch 1
Track-edge effect,Analog Tape / Tape Machines,EXISTING,Batch 1
Guard track,Analog Tape / Tape Machines,EXISTING,Batch 1
Cue track,Analog Tape / Tape Machines,EXISTING,Batch 1
Center track,Analog Tape / Tape Machines,EXISTING,Batch 1
Sel-sync track,Analog Tape / Tape Machines,EXISTING,Batch 1
Sync-repro response,Analog Tape / Tape Machines,EXISTING,Batch 1
Sync-head offset,Analog Tape / Tape Machines,EXISTING,Batch 1
Intertrack timing error,Analog Tape / Tape Machines,EXISTING,Batch 1
Track-format mismatch,Analog Tape / Tape Machines,EXISTING,Batch 1
Constant-tension transport,Analog Tape / Tape Machines,EXISTING,Batch 1
Open-loop transport,Analog Tape / Tape Machines,EXISTING,Batch 1
Closed-loop transport,Analog Tape / Tape Machines,EXISTING,Batch 1
Dual-capstan transport,Analog Tape / Tape Machines,EXISTING,Batch 1
Closed-loop dual capstan,Analog Tape / Tape Machines,EXISTING,Batch 1
Isolated tape loop,Analog Tape / Tape Machines,EXISTING,Batch 1
Back tension,Analog Tape / Tape Machines,EXISTING,Batch 1
Take-up tension,Analog Tape / Tape Machines,EXISTING,Batch 1
Differential tension,Analog Tape / Tape Machines,EXISTING,Batch 1
Tension arm,Analog Tape / Tape Machines,EXISTING,Batch 1
Dancer arm,Analog Tape / Tape Machines,EXISTING,Batch 1
Vacuum column,Analog Tape / Tape Machines,EXISTING,Batch 1
Vacuum buffer,Analog Tape / Tape Machines,EXISTING,Batch 1
Tape lifter,Analog Tape / Tape Machines,EXISTING,Batch 1
Lifter scrape,Analog Tape / Tape Machines,EXISTING,Batch 1
Guide chatter,Analog Tape / Tape Machines,EXISTING,Batch 1
Flange rub,Analog Tape / Tape Machines,EXISTING,Batch 1
Hub-slot deformation,Analog Tape / Tape Machines,EXISTING,Batch 1
Reel-table runout,Analog Tape / Tape Machines,EXISTING,Batch 1
Reel-table height,Analog Tape / Tape Machines,EXISTING,Batch 1
Tape-path coplanarity,Analog Tape / Tape Machines,EXISTING,Batch 1
Tape-path skew,Analog Tape / Tape Machines,EXISTING,Batch 1
Edge guiding,Analog Tape / Tape Machines,EXISTING,Batch 1
Crowned guide,Analog Tape / Tape Machines,EXISTING,Batch 1
Impedance roller,Analog Tape / Tape Machines,EXISTING,Batch 1
Flutter idler,Analog Tape / Tape Machines,EXISTING,Batch 1
Tape-path resonance,Analog Tape / Tape Machines,EXISTING,Batch 1
Span resonance,Analog Tape / Tape Machines,EXISTING,Batch 1
Longitudinal tape resonance,Analog Tape / Tape Machines,EXISTING,Batch 1
Flat wind,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Smooth pack,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Hard pack,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Soft pack,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack shift,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Hub slip,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack scatter,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Telescope,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Dish,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack dish,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Flange squeeze,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Interlayer entrainment,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Debris embossing,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Layer impression,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Storage set,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Wind-induced edge curl,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack relaxation,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack compression,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Wickelretter,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Base film,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Cellulose-acetate base,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Polyester base,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Polyvinyl-chloride base,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Paper-base tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pigment layer,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Magnetic coating,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Back coating,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Carbon back coating,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Back-coat transfer,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Back-coat shedding,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Coating-to-backing interaction,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Dispersion quality,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Particle agglomerate,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Calendering,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Calendering loss,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Coating thickness,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Base thickness,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Standard-play tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Long-play tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Double-play tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Triple-play tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tensilized polyester,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Coating adhesion,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Cohesive failure,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Adhesive failure,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pigment shedding,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Ferrotyping,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Surface glazing,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Binder polishing,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Adhesive ooze,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Splice bleed,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Splice blocking,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Splice imprint,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Splice curl,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Splice failure,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Leader embrittlement,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Leader shrinkage,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Mold staining,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Hyphal anchoring,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Insect frass contamination,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Particulate embedment,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Abrasive contamination,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Ferrofluid contamination,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Salt contamination,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Flood-set pack,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Mud intrusion,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tape baking,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Thermal conditioning,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Desiccation treatment,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Low-temperature dehydration,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Localized dry-air treatment,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Controlled unspooling,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tape relaxation,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Environmental acclimatization,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Cold-storage acclimation,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Dry cleaning,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pellon wiping,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tissue wiping,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Vacuum cleaning,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tape polishing,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Rehousing,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Shell transplant,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Reel replacement,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Hub support,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Splice replacement,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Leader replacement,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack recovery,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Butt splice,Audio Restoration & Archival,EXISTING,Batch 1
Diagonal splice,Audio Restoration & Archival,EXISTING,Batch 1
Bias splice,Audio Restoration & Archival,EXISTING,Batch 1
Block splice,Audio Restoration & Archival,EXISTING,Batch 1
Edit angle,Audio Restoration & Archival,EXISTING,Batch 1
Splicing block,Audio Restoration & Archival,EXISTING,Batch 1
Edit tab,Audio Restoration & Archival,EXISTING,Batch 1
Timing leader,Audio Restoration & Archival,EXISTING,Batch 1
Paper leader,Audio Restoration & Archival,EXISTING,Batch 1
Plastic leader,Audio Restoration & Archival,EXISTING,Batch 1
Conductive leader,Audio Restoration & Archival,EXISTING,Batch 1
Metallic sensing foil,Audio Restoration & Archival,EXISTING,Batch 1
Cue foil,Audio Restoration & Archival,EXISTING,Batch 1
Tone splice,Audio Restoration & Archival,EXISTING,Batch 1
Razor edit,Audio Restoration & Archival,EXISTING,Batch 1
Grease-pencil edit mark,Audio Restoration & Archival,EXISTING,Batch 1
Edit pop,Audio Restoration & Archival,EXISTING,Batch 1
Splice bump,Audio Restoration & Archival,EXISTING,Batch 1
Edit sliver,Audio Restoration & Archival,EXISTING,Batch 1
Encode/decode mistracking,Audio Restoration & Archival,EXISTING,Batch 1
Dolby level,Audio Restoration & Archival,EXISTING,Batch 1
Dolby tone,Audio Restoration & Archival,EXISTING,Batch 1
Dolby lineup,Audio Restoration & Archival,EXISTING,Batch 1
Dolby tracking error,Audio Restoration & Archival,EXISTING,Batch 1
Sliding-band companding,Audio Restoration & Archival,EXISTING,Batch 1
Fixed-band companding,Audio Restoration & Archival,EXISTING,Batch 1
Spectral skewing,Audio Restoration & Archival,EXISTING,Batch 1
Compander breathing,Audio Restoration & Archival,EXISTING,Batch 1
Compander pumping,Audio Restoration & Archival,EXISTING,Batch 1
Noise-reduction identification,Audio Restoration & Archival,EXISTING,Batch 1
Undecoded transfer,Audio Restoration & Archival,EXISTING,Batch 1
Flat encoded capture,Audio Restoration & Archival,EXISTING,Batch 1
Pressure pad,Audio Restoration & Archival,EXISTING,Batch 1
Pressure-pad loss,Audio Restoration & Archival,EXISTING,Batch 1
Pressure-pad glazing,Audio Restoration & Archival,EXISTING,Batch 1
Pad lifter,Audio Restoration & Archival,EXISTING,Batch 1
Slip sheet,Audio Restoration & Archival,EXISTING,Batch 1
Slip-sheet buckling,Audio Restoration & Archival,EXISTING,Batch 1
Hub brake,Audio Restoration & Archival,EXISTING,Batch 1
Brake drag,Audio Restoration & Archival,EXISTING,Batch 1
Shell warp,Audio Restoration & Archival,EXISTING,Batch 1
Shell azimuth,Audio Restoration & Archival,EXISTING,Batch 1
Cassette skew,Audio Restoration & Archival,EXISTING,Batch 1
Hub bind,Audio Restoration & Archival,EXISTING,Batch 1
Pack spill,Audio Restoration & Archival,EXISTING,Batch 1
Leader detachment,Audio Restoration & Archival,EXISTING,Batch 1
Auto-stop foil,Audio Restoration & Archival,EXISTING,Batch 1
Tape-type detection notch,Audio Restoration & Archival,EXISTING,Batch 1
Type III cassette,Audio Restoration & Archival,EXISTING,Batch 1
Ferrichrome tape,Audio Restoration & Archival,EXISTING,Batch 1
Rehousing for equalization,Audio Restoration & Archival,EXISTING,Batch 1
Nominal tape speed,Audio Restoration & Archival,EXISTING,Batch 1
Actual tape speed,Audio Restoration & Archival,EXISTING,Batch 1
Speed error,Audio Restoration & Archival,EXISTING,Batch 1
Absolute speed error,Audio Restoration & Archival,EXISTING,Batch 1
Timebase error,Audio Restoration & Archival,EXISTING,Batch 1
Integral wow,Audio Restoration & Archival,EXISTING,Batch 1
Weighted wow and flutter,Audio Restoration & Archival,EXISTING,Batch 1
Unweighted wow and flutter,Audio Restoration & Archival,EXISTING,Batch 1
Peak weighted wow and flutter,Audio Restoration & Archival,EXISTING,Batch 1
Quasi-peak wow and flutter,Audio Restoration & Archival,EXISTING,Batch 1
Drift rate,Audio Restoration & Archival,EXISTING,Batch 1
Cyclic speed error,Audio Restoration & Archival,EXISTING,Batch 1
Capstan-rate component,Audio Restoration & Archival,EXISTING,Batch 1
Reel-rate component,Audio Restoration & Archival,EXISTING,Batch 1
Pinch-roller-rate component,Audio Restoration & Archival,EXISTING,Batch 1
Flutter spectrum,Audio Restoration & Archival,EXISTING,Batch 1
Speed-error signature,Audio Restoration & Archival,EXISTING,Batch 1
Nonlinear-speed recording,Audio Restoration & Archival,EXISTING,Batch 1
Capstanless recording,Audio Restoration & Archival,EXISTING,Batch 1
Dialogue assembly,Dialogue Editing,EXISTING,Batch 1
Dialogue conform,Dialogue Editing,EXISTING,Batch 1
Picture reconform,Dialogue Editing,EXISTING,Batch 1
Production dialogue pull,Dialogue Editing,EXISTING,Batch 1
Field-recorder expansion,Dialogue Editing,EXISTING,Batch 1
Production sound roll,Dialogue Editing,EXISTING,Batch 1
Sound-roll metadata,Dialogue Editing,EXISTING,Batch 1
Alternate-channel mining,Dialogue Editing,EXISTING,Batch 1
Alternate-take surgery,Dialogue Editing,EXISTING,Batch 1
Syllable replacement,Dialogue Editing,EXISTING,Batch 1
Phoneme patching,Dialogue Editing,EXISTING,Batch 1
Consonant graft,Dialogue Editing,EXISTING,Batch 1
Vowel graft,Dialogue Editing,EXISTING,Batch 1
Word-end repair,Dialogue Editing,EXISTING,Batch 1
Breath graft,Dialogue Editing,EXISTING,Batch 1
Breath matching,Dialogue Editing,EXISTING,Batch 1
Performance comping,Dialogue Editing,EXISTING,Batch 1
Micro-comping,Dialogue Editing,EXISTING,Batch 1
Dialogue tracklay,Dialogue Editing,EXISTING,Batch 1
Track dressing,Dialogue Editing,EXISTING,Batch 1
Handle preservation,Dialogue Editing,EXISTING,Batch 1
Edit exposure,Dialogue Editing,EXISTING,Batch 1
Mic-angle change,Dialogue Editing,EXISTING,Batch 1
Perspective discontinuity,Dialogue Editing,EXISTING,Batch 1
Acoustic discontinuity,Dialogue Editing,EXISTING,Batch 1
Dialogue fill,Dialogue Editing,EXISTING,Batch 1
Fill bed,Dialogue Editing,EXISTING,Batch 1
Fill pull,Dialogue Editing,EXISTING,Batch 1
Fill harvesting,Dialogue Editing,EXISTING,Batch 1
Pre-action fill,Dialogue Editing,EXISTING,Batch 1
Post-cut fill,Dialogue Editing,EXISTING,Batch 1
Fill loop,Dialogue Editing,EXISTING,Batch 1
Reversed fill,Dialogue Editing,EXISTING,Batch 1
Fill seam,Dialogue Editing,EXISTING,Batch 1
Fill buildup,Dialogue Editing,EXISTING,Batch 1
Fill pumping,Dialogue Editing,EXISTING,Batch 1
Room-tone pumping,Dialogue Editing,EXISTING,Batch 1
Noise-floor stepping,Dialogue Editing,EXISTING,Batch 1
Noise-floor choreography,Dialogue Editing,EXISTING,Batch 1
Room-tone contouring,Dialogue Editing,EXISTING,Batch 1
Ambience matching,Dialogue Editing,EXISTING,Batch 1
Background perspective match,Dialogue Editing,EXISTING,Batch 1
DX,Dialogue Editing,EXISTING,Batch 1
PDX,Dialogue Editing,EXISTING,Batch 1
DX A / DX B,Dialogue Editing,EXISTING,Batch 1
A/B dialogue checkerboarding,Dialogue Editing,EXISTING,Batch 1
Scene checkerboarding,Dialogue Editing,EXISTING,Batch 1
Setup checkerboarding,Dialogue Editing,EXISTING,Batch 1
Character splitting,Dialogue Editing,EXISTING,Batch 1
Microphone splitting,Dialogue Editing,EXISTING,Batch 1
Boom lane,Dialogue Editing,EXISTING,Batch 1
Lav lane,Dialogue Editing,EXISTING,Batch 1
Plant lane,Dialogue Editing,EXISTING,Batch 1
Mix-track guide,Dialogue Editing,EXISTING,Batch 1
Overlap track,Dialogue Editing,EXISTING,Batch 1
X track,Dialogue Editing,EXISTING,Batch 1
X-dialogue,Dialogue Editing,EXISTING,Batch 1
Safety dialogue track,Dialogue Editing,EXISTING,Batch 1
Transfer track,Dialogue Editing,EXISTING,Batch 1
Parking track,Dialogue Editing,EXISTING,Batch 1
Scratch DX,Dialogue Editing,EXISTING,Batch 1
Guide dialogue,Dialogue Editing,EXISTING,Batch 1
Reference production,Dialogue Editing,EXISTING,Batch 1
PFX,Dialogue Editing,EXISTING,Batch 1
PFX pull,Dialogue Editing,EXISTING,Batch 1
PFX extraction,Dialogue Editing,EXISTING,Batch 1
PFX isolation,Dialogue Editing,EXISTING,Batch 1
PFX marriage,Dialogue Editing,EXISTING,Batch 1
Dialogue-tainted PFX,Dialogue Editing,EXISTING,Batch 1
PFX continuity,Dialogue Editing,EXISTING,Batch 1
PFX sweetener,Dialogue Editing,EXISTING,Batch 1
Dialogue declicking,Dialogue Editing,EXISTING,Batch 1
Mouth declicking,Dialogue Editing,EXISTING,Batch 1
Lip-smack suppression,Dialogue Editing,EXISTING,Batch 1
Saliva click,Dialogue Editing,EXISTING,Batch 1
Tongue click artifact,Dialogue Editing,EXISTING,Batch 1
Denture click,Dialogue Editing,EXISTING,Batch 1
Palatal click,Dialogue Editing,EXISTING,Batch 1
Mouth-noise cluster,Dialogue Editing,EXISTING,Batch 1
Breath attenuation,Dialogue Editing,EXISTING,Batch 1
Breath shaping,Dialogue Editing,EXISTING,Batch 1
Breath replacement,Dialogue Editing,EXISTING,Batch 1
Breath-hole repair,Dialogue Editing,EXISTING,Batch 1
Inhale truncation,Dialogue Editing,EXISTING,Batch 1
Aspiration loss,Dialogue Editing,EXISTING,Batch 1
Plosive reconstruction,Dialogue Editing,EXISTING,Batch 1
Plosive shadow,Dialogue Editing,EXISTING,Batch 1
Residual plosive,Dialogue Editing,EXISTING,Batch 1
De-plosive overreach,Dialogue Editing,EXISTING,Batch 1
Sibilant lisping,Dialogue Editing,EXISTING,Batch 1
Sibilant replacement,Dialogue Editing,EXISTING,Batch 1
Sibilant graft,Dialogue Editing,EXISTING,Batch 1
Ess-hole,Dialogue Editing,EXISTING,Batch 1
Spectral hole,Dialogue Editing,EXISTING,Batch 1
Restoration chirp,Dialogue Editing,EXISTING,Batch 1
Musical-noise artifact,Dialogue Editing,EXISTING,Batch 1
Underwater dialogue,Dialogue Editing,EXISTING,Batch 1
Phasey speech,Dialogue Editing,EXISTING,Batch 1
Denoise modulation,Dialogue Editing,EXISTING,Batch 1
Noise-print mismatch,Dialogue Editing,EXISTING,Batch 1
Adaptive-threshold chasing,Dialogue Editing,EXISTING,Batch 1
Dialogue-isolation residue,Dialogue Editing,EXISTING,Batch 1
Voice-extraction halo,Dialogue Editing,EXISTING,Batch 1
Ambience stripping,Dialogue Editing,EXISTING,Batch 1
Room-tone collapse,Dialogue Editing,EXISTING,Batch 1
Consonant erosion,Dialogue Editing,EXISTING,Batch 1
Transient erosion,Dialogue Editing,EXISTING,Batch 1
Formant smearing,Dialogue Editing,EXISTING,Batch 1
Vocal granulation,Dialogue Editing,EXISTING,Batch 1
Spectral patching,Dialogue Editing,EXISTING,Batch 1
Spectral attenuation pass,Dialogue Editing,EXISTING,Batch 1
Attenuate-versus-replace decision,Dialogue Editing,EXISTING,Batch 1
Lav rustle,Dialogue Editing,EXISTING,Batch 1
Intermittent rustle,Dialogue Editing,EXISTING,Batch 1
Broadband rustle,Dialogue Editing,EXISTING,Batch 1
Chest rub,Dialogue Editing,EXISTING,Batch 1
