term,topic
Hysteresis loop,"Magnetic Recording Physics, Bias & Erasure"
Anhysteretic recording,"Magnetic Recording Physics, Bias & Erasure"
Anhysteretic remanence,"Magnetic Recording Physics, Bias & Erasure"
Domain orientation,"Magnetic Recording Physics, Bias & Erasure"
Particle orientation,"Magnetic Recording Physics, Bias & Erasure"
Orientation ratio,"Magnetic Recording Physics, Bias & Erasure"
Switching-field distribution,"Magnetic Recording Physics, Bias & Erasure"
Magnetization transition,"Magnetic Recording Physics, Bias & Erasure"
Transition crowding,"Magnetic Recording Physics, Bias & Erasure"
Self-demagnetization,"Magnetic Recording Physics, Bias & Erasure"
Thickness loss,"Magnetic Recording Physics, Bias & Erasure"
Wavelength response,"Magnetic Recording Physics, Bias & Erasure"
Recorded wavelength,"Magnetic Recording Physics, Bias & Erasure"
AC bias,"Magnetic Recording Physics, Bias & Erasure"
Bias frequency,"Magnetic Recording Physics, Bias & Erasure"
Bias current,"Magnetic Recording Physics, Bias & Erasure"
Optimum bias,"Magnetic Recording Physics, Bias & Erasure"
Overbias,"Magnetic Recording Physics, Bias & Erasure"
Underbias,"Magnetic Recording Physics, Bias & Erasure"
Overbias curve,"Magnetic Recording Physics, Bias & Erasure"
Bias null,"Magnetic Recording Physics, Bias & Erasure"
Bias trap,"Magnetic Recording Physics, Bias & Erasure"
Bias feedthrough,"Magnetic Recording Physics, Bias & Erasure"
Bias rocks,"Magnetic Recording Physics, Bias & Erasure"
Bias compatibility,"Magnetic Recording Physics, Bias & Erasure"
Erase depth,"Magnetic Recording Physics, Bias & Erasure"
Erasure ratio,"Magnetic Recording Physics, Bias & Erasure"
Incomplete erasure,"Magnetic Recording Physics, Bias & Erasure"
Erase-field penetration,"Magnetic Recording Physics, Bias & Erasure"
DC erasure,"Magnetic Recording Physics, Bias & Erasure"
Bulk erasure,"Magnetic Recording Physics, Bias & Erasure"
Degausser dwell,"Magnetic Recording Physics, Bias & Erasure"
Degausser withdrawal,"Magnetic Recording Physics, Bias & Erasure"
Reference fluxivity,"Tape Level, Calibration & EQ Standards"
Magnetic fluxivity,"Tape Level, Calibration & EQ Standards"
Elevated operating level,"Tape Level, Calibration & EQ Standards"
Standard reference level,"Tape Level, Calibration & EQ Standards"
Tape sensitivity,"Tape Level, Calibration & EQ Standards"
Relative tape sensitivity,"Tape Level, Calibration & EQ Standards"
Reference tape,"Tape Level, Calibration & EQ Standards"
Reproducer test tape,"Tape Level, Calibration & EQ Standards"
Multifrequency alignment tape,"Tape Level, Calibration & EQ Standards"
Short-wavelength level,"Tape Level, Calibration & EQ Standards"
Long-wavelength level,"Tape Level, Calibration & EQ Standards"
Maximum output level,"Tape Level, Calibration & EQ Standards"
Maximum output level at 3% distortion,"Tape Level, Calibration & EQ Standards"
Saturation output,"Tape Level, Calibration & EQ Standards"
Saturation output level,"Tape Level, Calibration & EQ Standards"
Tape headroom,"Tape Level, Calibration & EQ Standards"
Modulation noise,"Tape Level, Calibration & EQ Standards"
DC noise,"Tape Level, Calibration & EQ Standards"
Erased-tape noise,"Tape Level, Calibration & EQ Standards"
Bulk-erased noise,"Tape Level, Calibration & EQ Standards"
Weighted tape noise,"Tape Level, Calibration & EQ Standards"
Print-through ratio,"Tape Level, Calibration & EQ Standards"
IEC1 equalization,"Tape Level, Calibration & EQ Standards"
IEC2 equalization,"Tape Level, Calibration & EQ Standards"
CCIR equalization,"Tape Level, Calibration & EQ Standards"
NAB equalization,"Tape Level, Calibration & EQ Standards"
NARTB equalization,"Tape Level, Calibration & EQ Standards"
DIN tape equalization,"Tape Level, Calibration & EQ Standards"
AES equalization,"Tape Level, Calibration & EQ Standards"
NagraMaster equalization,"Tape Level, Calibration & EQ Standards"
Ampex Master Equalization,"Tape Level, Calibration & EQ Standards"
House equalization,"Tape Level, Calibration & EQ Standards"
Replay time constant,"Tape Level, Calibration & EQ Standards"
Infinite low-frequency time constant,"Tape Level, Calibration & EQ Standards"
Equalization ambiguity,"Tape Level, Calibration & EQ Standards"
Equalization misdecode,"Tape Level, Calibration & EQ Standards"
Head bump,"Tape Heads, Track Geometry & Transport"
Head contour resonance,"Tape Heads, Track Geometry & Transport"
Pole-tip recession,"Tape Heads, Track Geometry & Transport"
Head-face grooving,"Tape Heads, Track Geometry & Transport"
Differential head wear,"Tape Heads, Track Geometry & Transport"
Gap erosion,"Tape Heads, Track Geometry & Transport"
Gap-length loss,"Tape Heads, Track Geometry & Transport"
Gap-azimuth interaction,"Tape Heads, Track Geometry & Transport"
Vertex adjustment,"Tape Heads, Track Geometry & Transport"
Head penetration,"Tape Heads, Track Geometry & Transport"
Contact loss,"Tape Heads, Track Geometry & Transport"
Contact-loss dropout,"Tape Heads, Track Geometry & Transport"
Tape tenting,"Tape Heads, Track Geometry & Transport"
Head clogging,"Tape Heads, Track Geometry & Transport"
Pole-piece magnetization,"Tape Heads, Track Geometry & Transport"
Remanent head field,"Tape Heads, Track Geometry & Transport"
Head-field asymmetry,"Tape Heads, Track Geometry & Transport"
Full-track mono,"Tape Heads, Track Geometry & Transport"
Half-track mono,"Tape Heads, Track Geometry & Transport"
Half-track stereo,"Tape Heads, Track Geometry & Transport"
Quarter-track stereo,"Tape Heads, Track Geometry & Transport"
Twin-track,"Tape Heads, Track Geometry & Transport"
Staggered-head stereo,"Tape Heads, Track Geometry & Transport"
Inline-head stereo,"Tape Heads, Track Geometry & Transport"
Stagger offset,"Tape Heads, Track Geometry & Transport"
Stagger correction,"Tape Heads, Track Geometry & Transport"
Track sense,"Tape Heads, Track Geometry & Transport"
Track assignment,"Tape Heads, Track Geometry & Transport"
Track configuration,"Tape Heads, Track Geometry & Transport"
Track pitch,"Tape Heads, Track Geometry & Transport"
Track-edge effect,"Tape Heads, Track Geometry & Transport"
Guard track,"Tape Heads, Track Geometry & Transport"
Cue track,"Tape Heads, Track Geometry & Transport"
Center track,"Tape Heads, Track Geometry & Transport"
Sel-sync track,"Tape Heads, Track Geometry & Transport"
Sync-repro response,"Tape Heads, Track Geometry & Transport"
Sync-head offset,"Tape Heads, Track Geometry & Transport"
Intertrack timing error,"Tape Heads, Track Geometry & Transport"
Track-format mismatch,"Tape Heads, Track Geometry & Transport"
Constant-tension transport,"Tape Heads, Track Geometry & Transport"
Open-loop transport,"Tape Heads, Track Geometry & Transport"
Closed-loop transport,"Tape Heads, Track Geometry & Transport"
Dual-capstan transport,"Tape Heads, Track Geometry & Transport"
Closed-loop dual capstan,"Tape Heads, Track Geometry & Transport"
Isolated tape loop,"Tape Heads, Track Geometry & Transport"
Back tension,"Tape Heads, Track Geometry & Transport"
Take-up tension,"Tape Heads, Track Geometry & Transport"
Differential tension,"Tape Heads, Track Geometry & Transport"
Tension arm,"Tape Heads, Track Geometry & Transport"
Dancer arm,"Tape Heads, Track Geometry & Transport"
Vacuum column,"Tape Heads, Track Geometry & Transport"
Vacuum buffer,"Tape Heads, Track Geometry & Transport"
Tape lifter,"Tape Heads, Track Geometry & Transport"
Lifter scrape,"Tape Heads, Track Geometry & Transport"
Guide chatter,"Tape Heads, Track Geometry & Transport"
Flange rub,"Tape Heads, Track Geometry & Transport"
Hub-slot deformation,"Tape Heads, Track Geometry & Transport"
Reel-table runout,"Tape Heads, Track Geometry & Transport"
Reel-table height,"Tape Heads, Track Geometry & Transport"
Tape-path coplanarity,"Tape Heads, Track Geometry & Transport"
Tape-path skew,"Tape Heads, Track Geometry & Transport"
Edge guiding,"Tape Heads, Track Geometry & Transport"
Crowned guide,"Tape Heads, Track Geometry & Transport"
Impedance roller,"Tape Heads, Track Geometry & Transport"
Flutter idler,"Tape Heads, Track Geometry & Transport"
Tape-path resonance,"Tape Heads, Track Geometry & Transport"
Span resonance,"Tape Heads, Track Geometry & Transport"
Longitudinal tape resonance,"Tape Heads, Track Geometry & Transport"
Flat wind,"Tape Construction, Packs & Conservation"
Smooth pack,"Tape Construction, Packs & Conservation"
Hard pack,"Tape Construction, Packs & Conservation"
Soft pack,"Tape Construction, Packs & Conservation"
Pack shift,"Tape Construction, Packs & Conservation"
Hub slip,"Tape Construction, Packs & Conservation"
Pack scatter,"Tape Construction, Packs & Conservation"
Telescope,"Tape Construction, Packs & Conservation"
Dish,"Tape Construction, Packs & Conservation"
Pack dish,"Tape Construction, Packs & Conservation"
Flange squeeze,"Tape Construction, Packs & Conservation"
Interlayer entrainment,"Tape Construction, Packs & Conservation"
Debris embossing,"Tape Construction, Packs & Conservation"
Layer impression,"Tape Construction, Packs & Conservation"
Storage set,"Tape Construction, Packs & Conservation"
Wind-induced edge curl,"Tape Construction, Packs & Conservation"
Pack relaxation,"Tape Construction, Packs & Conservation"
Pack compression,"Tape Construction, Packs & Conservation"
Wickelretter,"Tape Construction, Packs & Conservation"
Base film,"Tape Construction, Packs & Conservation"
Cellulose-acetate base,"Tape Construction, Packs & Conservation"
Polyester base,"Tape Construction, Packs & Conservation"
Polyvinyl-chloride base,"Tape Construction, Packs & Conservation"
Paper-base tape,"Tape Construction, Packs & Conservation"
Pigment layer,"Tape Construction, Packs & Conservation"
Magnetic coating,"Tape Construction, Packs & Conservation"
Back coating,"Tape Construction, Packs & Conservation"
Carbon back coating,"Tape Construction, Packs & Conservation"
Back-coat transfer,"Tape Construction, Packs & Conservation"
Back-coat shedding,"Tape Construction, Packs & Conservation"
Coating-to-backing interaction,"Tape Construction, Packs & Conservation"
Dispersion quality,"Tape Construction, Packs & Conservation"
Particle agglomerate,"Tape Construction, Packs & Conservation"
Calendering,"Tape Construction, Packs & Conservation"
Calendering loss,"Tape Construction, Packs & Conservation"
Coating thickness,"Tape Construction, Packs & Conservation"
Base thickness,"Tape Construction, Packs & Conservation"
Standard-play tape,"Tape Construction, Packs & Conservation"
Long-play tape,"Tape Construction, Packs & Conservation"
Double-play tape,"Tape Construction, Packs & Conservation"
Triple-play tape,"Tape Construction, Packs & Conservation"
Tensilized polyester,"Tape Construction, Packs & Conservation"
Coating adhesion,"Tape Construction, Packs & Conservation"
Cohesive failure,"Tape Construction, Packs & Conservation"
Adhesive failure,"Tape Construction, Packs & Conservation"
Pigment shedding,"Tape Construction, Packs & Conservation"
Ferrotyping,"Tape Construction, Packs & Conservation"
Surface glazing,"Tape Construction, Packs & Conservation"
Binder polishing,"Tape Construction, Packs & Conservation"
Adhesive ooze,"Tape Construction, Packs & Conservation"
Splice bleed,"Tape Construction, Packs & Conservation"
Splice blocking,"Tape Construction, Packs & Conservation"
Splice imprint,"Tape Construction, Packs & Conservation"
Splice curl,"Tape Construction, Packs & Conservation"
Splice failure,"Tape Construction, Packs & Conservation"
Leader embrittlement,"Tape Construction, Packs & Conservation"
Leader shrinkage,"Tape Construction, Packs & Conservation"
Mold staining,"Tape Construction, Packs & Conservation"
Hyphal anchoring,"Tape Construction, Packs & Conservation"
Insect frass contamination,"Tape Construction, Packs & Conservation"
Particulate embedment,"Tape Construction, Packs & Conservation"
Abrasive contamination,"Tape Construction, Packs & Conservation"
Ferrofluid contamination,"Tape Construction, Packs & Conservation"
Salt contamination,"Tape Construction, Packs & Conservation"
Flood-set pack,"Tape Construction, Packs & Conservation"
Mud intrusion,"Tape Construction, Packs & Conservation"
Tape baking,"Tape Construction, Packs & Conservation"
Thermal conditioning,"Tape Construction, Packs & Conservation"
Desiccation treatment,"Tape Construction, Packs & Conservation"
Low-temperature dehydration,"Tape Construction, Packs & Conservation"
Localized dry-air treatment,"Tape Construction, Packs & Conservation"
Controlled unspooling,"Tape Construction, Packs & Conservation"
Tape relaxation,"Tape Construction, Packs & Conservation"
Environmental acclimatization,"Tape Construction, Packs & Conservation"
Cold-storage acclimation,"Tape Construction, Packs & Conservation"
Dry cleaning,"Tape Construction, Packs & Conservation"
Pellon wiping,"Tape Construction, Packs & Conservation"
Tissue wiping,"Tape Construction, Packs & Conservation"
Vacuum cleaning,"Tape Construction, Packs & Conservation"
Tape polishing,"Tape Construction, Packs & Conservation"
Rehousing,"Tape Construction, Packs & Conservation"
Shell transplant,"Tape Construction, Packs & Conservation"
Reel replacement,"Tape Construction, Packs & Conservation"
Hub support,"Tape Construction, Packs & Conservation"
Splice replacement,"Tape Construction, Packs & Conservation"
Leader replacement,"Tape Construction, Packs & Conservation"
Pack recovery,"Tape Construction, Packs & Conservation"
Butt splice,"Analog Tape Editing, NR & Cassette"
Diagonal splice,"Analog Tape Editing, NR & Cassette"
Bias splice,"Analog Tape Editing, NR & Cassette"
Block splice,"Analog Tape Editing, NR & Cassette"
Edit angle,"Analog Tape Editing, NR & Cassette"
Splicing block,"Analog Tape Editing, NR & Cassette"
Edit tab,"Analog Tape Editing, NR & Cassette"
Timing leader,"Analog Tape Editing, NR & Cassette"
Paper leader,"Analog Tape Editing, NR & Cassette"
Plastic leader,"Analog Tape Editing, NR & Cassette"
Conductive leader,"Analog Tape Editing, NR & Cassette"
Metallic sensing foil,"Analog Tape Editing, NR & Cassette"
Cue foil,"Analog Tape Editing, NR & Cassette"
Tone splice,"Analog Tape Editing, NR & Cassette"
Razor edit,"Analog Tape Editing, NR & Cassette"
Grease-pencil edit mark,"Analog Tape Editing, NR & Cassette"
Edit pop,"Analog Tape Editing, NR & Cassette"
Splice bump,"Analog Tape Editing, NR & Cassette"
Edit sliver,"Analog Tape Editing, NR & Cassette"
Encode/decode mistracking,"Analog Tape Editing, NR & Cassette"
Dolby level,"Analog Tape Editing, NR & Cassette"
Dolby tone,"Analog Tape Editing, NR & Cassette"
Dolby lineup,"Analog Tape Editing, NR & Cassette"
Dolby tracking error,"Analog Tape Editing, NR & Cassette"
Sliding-band companding,"Analog Tape Editing, NR & Cassette"
Fixed-band companding,"Analog Tape Editing, NR & Cassette"
Spectral skewing,"Analog Tape Editing, NR & Cassette"
Compander breathing,"Analog Tape Editing, NR & Cassette"
Compander pumping,"Analog Tape Editing, NR & Cassette"
Noise-reduction identification,"Analog Tape Editing, NR & Cassette"
Undecoded transfer,"Analog Tape Editing, NR & Cassette"
Flat encoded capture,"Analog Tape Editing, NR & Cassette"
Pressure pad,"Analog Tape Editing, NR & Cassette"
Pressure-pad loss,"Analog Tape Editing, NR & Cassette"
Pressure-pad glazing,"Analog Tape Editing, NR & Cassette"
Pad lifter,"Analog Tape Editing, NR & Cassette"
Slip sheet,"Analog Tape Editing, NR & Cassette"
Slip-sheet buckling,"Analog Tape Editing, NR & Cassette"
Hub brake,"Analog Tape Editing, NR & Cassette"
Brake drag,"Analog Tape Editing, NR & Cassette"
Shell warp,"Analog Tape Editing, NR & Cassette"
Shell azimuth,"Analog Tape Editing, NR & Cassette"
Cassette skew,"Analog Tape Editing, NR & Cassette"
Hub bind,"Analog Tape Editing, NR & Cassette"
Pack spill,"Analog Tape Editing, NR & Cassette"
Leader detachment,"Analog Tape Editing, NR & Cassette"
Auto-stop foil,"Analog Tape Editing, NR & Cassette"
Tape-type detection notch,"Analog Tape Editing, NR & Cassette"
Type III cassette,"Analog Tape Editing, NR & Cassette"
Ferrichrome tape,"Analog Tape Editing, NR & Cassette"
Rehousing for equalization,"Analog Tape Editing, NR & Cassette"
Nominal tape speed,"Analog Tape Editing, NR & Cassette"
Actual tape speed,"Analog Tape Editing, NR & Cassette"
Speed error,"Analog Tape Editing, NR & Cassette"
Absolute speed error,"Analog Tape Editing, NR & Cassette"
Timebase error,"Analog Tape Editing, NR & Cassette"
Integral wow,"Analog Tape Editing, NR & Cassette"
Weighted wow and flutter,"Analog Tape Editing, NR & Cassette"
Unweighted wow and flutter,"Analog Tape Editing, NR & Cassette"
Peak weighted wow and flutter,"Analog Tape Editing, NR & Cassette"
Quasi-peak wow and flutter,"Analog Tape Editing, NR & Cassette"
Drift rate,"Analog Tape Editing, NR & Cassette"
Cyclic speed error,"Analog Tape Editing, NR & Cassette"
Capstan-rate component,"Analog Tape Editing, NR & Cassette"
Reel-rate component,"Analog Tape Editing, NR & Cassette"
Pinch-roller-rate component,"Analog Tape Editing, NR & Cassette"
Flutter spectrum,"Analog Tape Editing, NR & Cassette"
Speed-error signature,"Analog Tape Editing, NR & Cassette"
Nonlinear-speed recording,"Analog Tape Editing, NR & Cassette"
Capstanless recording,"Analog Tape Editing, NR & Cassette"
Dialogue assembly,Dialogue Editing
Dialogue conform,Dialogue Editing
Picture reconform,Dialogue Editing
Production dialogue pull,Dialogue Editing
Field-recorder expansion,Dialogue Editing
Production sound roll,Dialogue Editing
Sound-roll metadata,Dialogue Editing
Alternate-channel mining,Dialogue Editing
Alternate-take surgery,Dialogue Editing
Syllable replacement,Dialogue Editing
Phoneme patching,Dialogue Editing
Consonant graft,Dialogue Editing
Vowel graft,Dialogue Editing
Word-end repair,Dialogue Editing
Breath graft,Dialogue Editing
Breath matching,Dialogue Editing
Performance comping,Dialogue Editing
Micro-comping,Dialogue Editing
Dialogue tracklay,Dialogue Editing
Track dressing,Dialogue Editing
Handle preservation,Dialogue Editing
Edit exposure,Dialogue Editing
Mic-angle change,Dialogue Editing
Perspective discontinuity,Dialogue Editing
Acoustic discontinuity,Dialogue Editing
Dialogue fill,Dialogue Editing
Fill bed,Dialogue Editing
Fill pull,Dialogue Editing
Fill harvesting,Dialogue Editing
Pre-action fill,Dialogue Editing
Post-cut fill,Dialogue Editing
Fill loop,Dialogue Editing
Reversed fill,Dialogue Editing
Fill seam,Dialogue Editing
Fill buildup,Dialogue Editing
Fill pumping,Dialogue Editing
Room-tone pumping,Dialogue Editing
Noise-floor stepping,Dialogue Editing
Noise-floor choreography,Dialogue Editing
Room-tone contouring,Dialogue Editing
Ambience matching,Dialogue Editing
Background perspective match,Dialogue Editing
DX,Dialogue Editing
PDX,Dialogue Editing
DX A / DX B,Dialogue Editing
A/B dialogue checkerboarding,Dialogue Editing
Scene checkerboarding,Dialogue Editing
Setup checkerboarding,Dialogue Editing
Character splitting,Dialogue Editing
Microphone splitting,Dialogue Editing
Boom lane,Dialogue Editing
Lav lane,Dialogue Editing
Plant lane,Dialogue Editing
Mix-track guide,Dialogue Editing
Overlap track,Dialogue Editing
X track,Dialogue Editing
X-dialogue,Dialogue Editing
Safety dialogue track,Dialogue Editing
Transfer track,Dialogue Editing
Parking track,Dialogue Editing
Scratch DX,Dialogue Editing
Guide dialogue,Dialogue Editing
Reference production,Dialogue Editing
PFX,Dialogue Editing
PFX pull,Dialogue Editing
PFX extraction,Dialogue Editing
PFX isolation,Dialogue Editing
PFX marriage,Dialogue Editing
Dialogue-tainted PFX,Dialogue Editing
PFX continuity,Dialogue Editing
PFX sweetener,Dialogue Editing
Dialogue declicking,Dialogue Cleanup & Restoration
Mouth declicking,Dialogue Cleanup & Restoration
Lip-smack suppression,Dialogue Cleanup & Restoration
Saliva click,Dialogue Cleanup & Restoration
Tongue click artifact,Dialogue Cleanup & Restoration
Denture click,Dialogue Cleanup & Restoration
Palatal click,Dialogue Cleanup & Restoration
Mouth-noise cluster,Dialogue Cleanup & Restoration
Breath attenuation,Dialogue Cleanup & Restoration
Breath shaping,Dialogue Cleanup & Restoration
Breath replacement,Dialogue Cleanup & Restoration
Breath-hole repair,Dialogue Cleanup & Restoration
Inhale truncation,Dialogue Cleanup & Restoration
Aspiration loss,Dialogue Cleanup & Restoration
Plosive reconstruction,Dialogue Cleanup & Restoration
Plosive shadow,Dialogue Cleanup & Restoration
Residual plosive,Dialogue Cleanup & Restoration
De-plosive overreach,Dialogue Cleanup & Restoration
Sibilant lisping,Dialogue Cleanup & Restoration
Sibilant replacement,Dialogue Cleanup & Restoration
Sibilant graft,Dialogue Cleanup & Restoration
Ess-hole,Dialogue Cleanup & Restoration
Spectral hole,Dialogue Cleanup & Restoration
Restoration chirp,Dialogue Cleanup & Restoration
Musical-noise artifact,Dialogue Cleanup & Restoration
Underwater dialogue,Dialogue Cleanup & Restoration
Phasey speech,Dialogue Cleanup & Restoration
Denoise modulation,Dialogue Cleanup & Restoration
Noise-print mismatch,Dialogue Cleanup & Restoration
Adaptive-threshold chasing,Dialogue Cleanup & Restoration
Dialogue-isolation residue,Dialogue Cleanup & Restoration
Voice-extraction halo,Dialogue Cleanup & Restoration
Ambience stripping,Dialogue Cleanup & Restoration
Room-tone collapse,Dialogue Cleanup & Restoration
Consonant erosion,Dialogue Cleanup & Restoration
Transient erosion,Dialogue Cleanup & Restoration
Formant smearing,Dialogue Cleanup & Restoration
Vocal granulation,Dialogue Cleanup & Restoration
Spectral patching,Dialogue Cleanup & Restoration
Spectral attenuation pass,Dialogue Cleanup & Restoration
Attenuate-versus-replace decision,Dialogue Cleanup & Restoration
Lav rustle,Dialogue Cleanup & Restoration
Intermittent rustle,Dialogue Cleanup & Restoration
Broadband rustle,Dialogue Cleanup & Restoration
Chest rub,Dialogue Cleanup & Restoration
Cable rub,Dialogue Cleanup & Restoration
Cable knock,Dialogue Cleanup & Restoration
Capsule scrape,Dialogue Cleanup & Restoration
Fabric tick,Dialogue Cleanup & Restoration
Jewelry tick,Dialogue Cleanup & Restoration
Button knock,Dialogue Cleanup & Restoration
Lav crackle,Dialogue Cleanup & Restoration
RF spit,Dialogue Cleanup & Restoration
RF hash,Dialogue Cleanup & Restoration
Wireless compander artifact,Dialogue Cleanup & Restoration
Lav chest resonance,Dialogue Cleanup & Restoration
Under-clothing resonance,Dialogue Cleanup & Restoration
Concealment muffling,Dialogue Cleanup & Restoration
Boom shadowing,Dialogue Cleanup & Restoration
Head-turn loss,Dialogue Cleanup & Restoration
Boom perspective drift,Dialogue Cleanup & Restoration
Boom-lav phase interaction,Dialogue Cleanup & Restoration
Variable interchannel offset,Dialogue Cleanup & Restoration
Dynamic phase alignment,Dialogue Cleanup & Restoration
ADR cue,ADR & Looping
ADR cue number,ADR & Looping
ADR spotting,ADR & Looping
ADR cueing,ADR & Looping
Looping,ADR & Looping
Post-sync,ADR & Looping
Automatic dialogue replacement,ADR & Looping
Additional dialogue recording,ADR & Looping
ADR guide,ADR & Looping
ADR target,ADR & Looping
ADR take lane,ADR & Looping
ADR comp,ADR & Looping
ADR edit,ADR & Looping
ADR fit,ADR & Looping
ADR match,ADR & Looping
ADR perspective match,ADR & Looping
ADR proximity mismatch,ADR & Looping
ADR room mismatch,ADR & Looping
ADR tonal match,ADR & Looping
ADR ambience bed,ADR & Looping
ADR futzing,ADR & Looping
ADR pre-roll,ADR & Looping
ADR post-roll,ADR & Looping
Three-beep cue,ADR & Looping
Missing fourth beep,ADR & Looping
Cue streamer,ADR & Looping
Punch cue,ADR & Looping
Dead cue,ADR & Looping
Rhythmo band,ADR & Looping
Bande rythmo,ADR & Looping
ADR wipe,ADR & Looping
Wild ADR,ADR & Looping
Wild line,ADR & Looping
Off-camera ADR,ADR & Looping
Sync ADR,ADR & Looping
Hard-sync line,ADR & Looping
Soft-sync line,ADR & Looping
Lip closure,ADR & Looping
Bilabial sync point,ADR & Looping
Labial anchor,ADR & Looping
Open-mouth vowel hold,ADR & Looping
ADR stretch,ADR & Looping
ADR squeeze,ADR & Looping
Internal ADR sync,ADR & Looping
Head-sync / tail-sync tradeoff,ADR & Looping
Performance drift,ADR & Looping
Isochrony,Dubbing & Localization
Lip synchrony,Dubbing & Localization
Kinetic synchrony,Dubbing & Localization
Character synchrony,Dubbing & Localization
Prosodic synchrony,Dubbing & Localization
Prosodic phrase alignment,Dubbing & Localization
Sync adaptation,Dubbing & Localization
Lip-sync adaptation,Dubbing & Localization
Dubbing script adaptation,Dubbing & Localization
Line isometry,Dubbing & Localization
Quantitative synchrony,Dubbing & Localization
Qualitative synchrony,Dubbing & Localization
Phonetic synchrony,Dubbing & Localization
Open-vowel matching,Dubbing & Localization
Bilabial matching,Dubbing & Localization
Dubbing rhythm,Dubbing & Localization
Sync window,Dubbing & Localization
Entry tolerance,Dubbing & Localization
Exit tolerance,Dubbing & Localization
Flap coverage,Dubbing & Localization
Back-to-camera liberty,Dubbing & Localization
Reaction vocal,Dubbing & Localization
Effort vocal,Dubbing & Localization
Efforts pass,Dubbing & Localization
Vocal efforts,Dubbing & Localization
Nonverbal sync,Dubbing & Localization
Foreign-language walla,Dubbing & Localization
Dub-stage foldback,Dubbing & Localization
Loop group,Loop Group & Walla
Group ADR,Loop Group & Walla
Specific walla,Loop Group & Walla
General walla,Loop Group & Walla
Walla poke-through,Loop Group & Walla
Walla density,Loop Group & Walla
Walla perspective,Loop Group & Walla
Walla contour,Loop Group & Walla
Walla bed,Loop Group & Walla
Walla sweetener,Loop Group & Walla
Pass-by chatter,Loop Group & Walla
Crossing voices,Loop Group & Walla
Incidental dialogue,Loop Group & Walla
Background principal,Loop Group & Walla
Omni crowd,Loop Group & Walla
Call-and-response walla,Loop Group & Walla
Period walla,Loop Group & Walla
Vocabulary-safe walla,Loop Group & Walla
Punch-and-roll,Voiceover & Narration Recording
Rock-and-roll recording,Voiceover & Narration Recording
Pick-up boundary,Voiceover & Narration Recording
Pick-up match,Voiceover & Narration Recording
Drop-in,Voiceover & Narration Recording
Insert read,Voiceover & Narration Recording
Patch read,Voiceover & Narration Recording
Wild pickup,Voiceover & Narration Recording
Lead-in read,Voiceover & Narration Recording
Throwaway lead-in,Voiceover & Narration Recording
Tail pickup,Voiceover & Narration Recording
Head pickup,Voiceover & Narration Recording
Mid-sentence pickup,Voiceover & Narration Recording
Pickup drift,Voiceover & Narration Recording
Session-tone drift,Voiceover & Narration Recording
Vocal fatigue drift,Voiceover & Narration Recording
Hydration shift,Voiceover & Narration Recording
Mic-position recall,Voiceover & Narration Recording
Voice-match note,Voiceover & Narration Recording
Cadence match,Voiceover & Narration Recording
Inflection match,Voiceover & Narration Recording
Energy match,Voiceover & Narration Recording
Resonance match,Voiceover & Narration Recording
Phrase-tail match,Voiceover & Narration Recording
Scratch read,Voiceover & Narration Recording
Guide VO,Voiceover & Narration Recording
Temp narration,Voiceover & Narration Recording
Final-approved read,Voiceover & Narration Recording
Slate contamination,Voiceover & Narration Recording
Pre-roll chatter,Voiceover & Narration Recording
Post-roll contamination,Voiceover & Narration Recording
Tail room,Voiceover & Narration Recording
Room-tone capture,Voiceover & Narration Recording
Booth tone,Voiceover & Narration Recording
Booth-mode coloration,Voiceover & Narration Recording
Page-turn mitigation,Voiceover & Narration Recording
Copy stand noise,Voiceover & Narration Recording
Monitor bleed print,Voiceover & Narration Recording
Headphone-shell leakage,Voiceover & Narration Recording
Dialogue predub,"Dialogue Premix, Re-Recording & Perspective"
DX predub,"Dialogue Premix, Re-Recording & Perspective"
Dialogue premix,"Dialogue Premix, Re-Recording & Perspective"
Dialogue master,"Dialogue Premix, Re-Recording & Perspective"
Domestic dialogue stem,"Dialogue Premix, Re-Recording & Perspective"
ADR stem,"Dialogue Premix, Re-Recording & Perspective"
Futz stem,"Dialogue Premix, Re-Recording & Perspective"
Futz,"Dialogue Premix, Re-Recording & Perspective"
Futz track,"Dialogue Premix, Re-Recording & Perspective"
Worldized dialogue,"Dialogue Premix, Re-Recording & Perspective"
Reamped dialogue,"Dialogue Premix, Re-Recording & Perspective"
Diegetic voice treatment,"Dialogue Premix, Re-Recording & Perspective"
On-screen source voice,"Dialogue Premix, Re-Recording & Perspective"
Off-screen source voice,"Dialogue Premix, Re-Recording & Perspective"
Voice perspective,"Dialogue Premix, Re-Recording & Perspective"
Perspective riding,"Dialogue Premix, Re-Recording & Perspective"
Shot-size perspective,"Dialogue Premix, Re-Recording & Perspective"
Close-up intimacy,"Dialogue Premix, Re-Recording & Perspective"
Wide-shot relief,"Dialogue Premix, Re-Recording & Perspective"
Dialogue reverb matching,"Dialogue Premix, Re-Recording & Perspective"
Early-reflection matching,"Dialogue Premix, Re-Recording & Perspective"
Room fingerprint,"Dialogue Premix, Re-Recording & Perspective"
Room-print convolution,"Dialogue Premix, Re-Recording & Perspective"
Production-space emulation,"Dialogue Premix, Re-Recording & Perspective"
ADR seating,"Dialogue Premix, Re-Recording & Perspective"
