term,subject,landing_topic,status,source_batch
Cyclic speed error,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Declicking,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Declip reconstruction,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Decrackling,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Deplosive processing,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Diagonal splice,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Differential groove recovery,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Dolby level,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Dolby lineup,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Dolby tone,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Dolby tracking error,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Drift rate,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Drift-compensated alignment,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Dropout interpolation,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Dual-wall recovery,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Edit angle,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Edit pop,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Edit sliver,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Edit tab,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Encode/decode mistracking,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Ferrichrome tape,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Fixed-band companding,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Flat encoded capture,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Flutter spectrum,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Fracture registration,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Fragment stitching,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Generation identification,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Generation loss assessment,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Grease-pencil edit mark,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Groove-centerline extraction,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Groove-topography reconstruction,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Harmonic hum reconstruction,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Heterodyne whistle,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
High-frequency dropout,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
High-frequency roll-off constant,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Historical replay equalization,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Hub bind,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Hub brake,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Hum fundamental,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Hum tracking,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Hum-harmonic series,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
IRENE scanning,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Ignition interference,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Image-domain dewarping,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Impulse interpolation,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Integral wow,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Leader detachment,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Line-frequency wander,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Metallic sensing foil,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Multi-pass transfer,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Multi-source alignment,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Multi-stylus transfer,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Noise-reduction identification,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Nominal tape speed,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Non-RIAA equalization,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Noncontact playback,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Nonlinear-speed recording,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Occlusion bridging,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Optical sound recovery,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Optical transfer profile,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Pack spill,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Pad lifter,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Paper leader,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Parallel transfer,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Partial dropout,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Patch-source restoration,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Peak weighted wow and flutter,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Phase-coherent summation,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Pilot-tone leakage,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Pinch-roller-rate component,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Plastic leader,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Post-transfer equalization,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Pre-equalized transfer,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Pressure pad,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Pressure-pad glazing,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Pressure-pad loss,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Quasi-peak wow and flutter,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Radio breakthrough,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Razor edit,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Rectifier buzz,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Reel-rate component,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Reference transfer,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Rehousing for equalization,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Replay characteristic,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Shell azimuth,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Shell warp,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Sinusoidal interpolation,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Sliding-band companding,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Slip sheet,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Slip-sheet buckling,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Source intercutting,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Spectral inpainting,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Spectral skewing,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Speed error,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Speed-error signature,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Splice bump,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Splicing block,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Surface metrology,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Switching hash,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Tape-type detection notch,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Three-dimensional groove imaging,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Thump removal,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Timebase error,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Timing leader,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Tone splice,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Transfer calibration tone,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Transfer lineage,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Transient reconstruction,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Turnover frequency,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Two-dimensional groove imaging,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Type III cassette,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Undecoded transfer,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Unequalized transfer,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Unweighted wow and flutter,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Virtual reassembly,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Virtual stylus,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Wall-profile extraction,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Wall-to-wall summation,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Weighted wow and flutter,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Abrasive contamination,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Acetate-base decomposition,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Adhesive failure,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Adhesive ooze,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Adjacent-track crosstalk,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Automatic azimuth correction,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Azimuth drift,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Azimuth error,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Back coating,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Back-coat shedding,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Back-coat transfer,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Base film,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Base thickness,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Base-film hydrolysis,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Bias-tone tracking,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Binder breakdown,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Binder exudation,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Binder hydrolysis,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Binder polishing,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Blocking,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Calendering,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Calendering loss,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Capstan eccentricity,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Capstan imprint,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Capstanless correction,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Carbon back coating,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Cellulose-acetate base,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Cinching,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Coating adhesion,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Coating delamination,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Coating friability,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Coating shed,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Coating thickness,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Coating-to-backing interaction,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Cohesive failure,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Cold-storage acclimation,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Contour effect,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Controlled unspooling,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Crease memory,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Cupping,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Debris embossing,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Desiccation treatment,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Dish,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Dispersion quality,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Double-play tape,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Dry cleaning,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Dynamic azimuth error,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Edge damage,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Edge weave,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Embrittlement,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Environmental acclimatization,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Ferrofluid contamination,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Ferrotyping,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Flange pack contact,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Flange squeeze,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Flat wind,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Flood-set pack,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Flutter,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Fringing effect,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Gap loss,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Guard-band intrusion,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Hard pack,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Head-gap scatter,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Head-height error,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Head-to-tape contact,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Head-wrap angle,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Hub slip,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Hub support,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Hyphal anchoring,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Insect frass contamination,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Interchannel time displacement,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Interlayer entrainment,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Interlayer slip,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Layer adhesion,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Layer impression,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Leader embrittlement,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Leader replacement,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Leader shrinkage,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Leafing,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Localized dry-air treatment,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Long-play tape,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Longitudinal curl,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Longitudinal vibration,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Low-temperature dehydration,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Lubricant depletion,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Lubricant exudation,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Magnetic coating,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Magnetic-particle agglomeration,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Mains-hum speed correction,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Mold staining,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Mud intrusion,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Oxide shedding,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack collapse,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack compression,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack dish,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack recovery,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack relaxation,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack scatter,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack shift,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack slip,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack stress,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pack tension,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Paper-base tape,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Particle agglomerate,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Particulate embedment,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pellon wiping,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pigment layer,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pigment shedding,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pilot-tone recovery,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pinch-roller eccentricity,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Plasticizer migration,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Polyester base,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Polyvinyl-chloride base,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Popped strand,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Post-print,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Pre-print,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Print-through,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Reel eccentricity,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Reel replacement,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Reference-fluxivity mismatch,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Rehousing,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Replay calibration ambiguity,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Saddle deformation,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Salt contamination,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Scattered wind,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Scrape flutter,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Segmental azimuth correction,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Servo hunting,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Shell transplant,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Smooth pack,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Soft pack,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Soft-binder syndrome,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Spacing loss,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Speed-reference reconstruction,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Splice bleed,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Splice blocking,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Splice curl,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Splice failure,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Splice imprint,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Splice replacement,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Spoking,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Stack alignment,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Standard-play tape,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Stepped pack,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Stick-slip motion,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Sticky-shed syndrome,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Storage set,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Substrate shrinkage,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Surface glazing,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tape baking,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tape polishing,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tape relaxation,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tape skew,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tape squeal,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tape wrap,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Telescope,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tensilized polyester,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tension imprint,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tension modulation,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Thermal conditioning,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Tissue wiping,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Torque ripple,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Track-placement error,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Track-width mismatch,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Transverse curl,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Transverse vibration,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Triple-play tape,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Vacuum cleaning,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Vinegar syndrome,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Wickelretter,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Wind-induced edge curl,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Windowing,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Wow,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Wow-and-flutter profile,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
Zenith error,Archival & Analog Tape,Magnetic Tape Preservation & Conservation,NEW,Batch 1
ADR ambience bed,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR comp,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR cue,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR cue number,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR cueing,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR edit,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR fit,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR futzing,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR guide,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR match,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR perspective match,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR post-roll,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
ADR pre-roll,Film/TV Post & Dialogue,ADR & Looping,EXISTING,Batch 1
