term,subject,landing_topic,status,source_batch
Towed array,Acoustics & Physics Science,"Ultrasonics, Underwater & Spatial-Audio Science",NEW,Batch 4
Transponder,Acoustics & Physics Science,"Ultrasonics, Underwater & Spatial-Audio Science",NEW,Batch 4
Ultrasonic attenuation,Acoustics & Physics Science,"Ultrasonics, Underwater & Spatial-Audio Science",NEW,Batch 4
Ultrasonic horn,Acoustics & Physics Science,"Ultrasonics, Underwater & Spatial-Audio Science",NEW,Batch 4
Underwater acoustic modem,Acoustics & Physics Science,"Ultrasonics, Underwater & Spatial-Audio Science",NEW,Batch 4
Vector hydrophone,Acoustics & Physics Science,"Ultrasonics, Underwater & Spatial-Audio Science",NEW,Batch 4
70-volt and 100-volt systems,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
A weighting,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Accuracy versus precision,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Acoustic crossover zones,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Acoustic overlap,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Alternating current,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Amplifier clipping,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Amplifier gain,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Array steering,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Asynchronous endpoints,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Balanced signaling,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Balloon interpolation,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Bit clock,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Bit-depth effects on network load,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Boundary clocks,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Boundary conditions,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Boundary interaction,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Bridged amplifier operation,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Buffering and end-to-end latency,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
C weighting,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Cable inductance,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Cable resistance,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Calibration offsets,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Capacitance,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Channel count calculations,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Class A amplification,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Class AB amplification,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Class B amplification,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Class D amplification,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Clock mismatch during measurement,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Clock-master election,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Comb filtering from multiple loudspeakers,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Complex numbers,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Confidence intervals,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Constant-Hz bandwidth,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Constant-percentage bandwidth,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Constant-voltage distributed systems,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Coordinate systems,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Coverage versus throw,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Cross products,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Delay shading,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Delay speakers,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Deterministic latency,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Differential equations,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Differential signaling,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Differentiation,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Direct current,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Directivity balloon,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Directivity control,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Discovery and subscription,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Distortion measurement,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Distributed systems,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Dose,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Dot products,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Eigenvalues,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Eigenvectors,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Electrical power,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Embedded clocking,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Empty-room versus occupied-room response,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Error correction,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Excess-phase plot,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Exponents,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Fast weighting,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Feedback loop gain,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Feedback stability,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Feedback stability margin,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Fourier transforms,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Fractional-octave analysis,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Fractional-octave smoothing,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Frame clock,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Frequency shading,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Frequency weighting,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Frequency-response measurement,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Gating reflections,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Ground loops,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Grounding,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Group-delay plot,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
House curves,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Impulse weighting,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
In-ear monitor isolation,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Inductance,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Input impedance,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Inverse-square relationships,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Isolation transformers,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Jitter accumulation,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Jitter buffers,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Laplace transforms,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Latency in monitoring systems,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Layer 2 versus Layer 3 transport,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Linear timecode,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Link aggregation,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Logarithms,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Loudspeaker aiming,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Loudspeaker load calculations,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
MIDI timecode,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Magnitude summation,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Main-to-sub timing,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Matrix operations,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Maximum power transfer,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Maximum-length sequence measurement,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Measurement latency,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Measurement microphone calibration,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Measurement noise floor,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Measurement signal versus program material,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Measurement-position dependency,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Merging near-field and far-field responses,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Microphone-loudspeaker geometry,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Minimum-phase derivation,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Modal decomposition,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Monitor gain before feedback,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Multicast,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Multitone testing,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Near-field loudspeaker measurement,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Network clock domains,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Network topology,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Networked-audio troubleshooting,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Open-loop versus closed-loop behavior,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Out fills,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Outdoor propagation,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Output-current limiting,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Packet reordering,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Packetized audio,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Parallel amplifier operation,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Parallel digital audio,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Peak sound pressure,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Peak voltage,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Phasors,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Polar coordinates,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Polar measurement,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Precision Time Protocol,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Probability density,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Probability distributions,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Proportionality,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Psychoacoustic smoothing,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Quality of service,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Radians versus degrees,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Radiation reactance,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Radiation resistance,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Random-incidence calibration,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Ratios,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Reactive loudspeaker loads,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Real-time analysis,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Redundant networking,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Reference calibration,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Reference-channel delay,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Reflections in digital cables,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Regression,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Ringing out a system,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Sample-accurate synchronization,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Sample-rate effects on network load,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Sample-rate mismatch across devices,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Scalar versus vector quantities,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Scientific notation,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Serial digital audio,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Series and parallel loads,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Signal ground versus safety ground,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Sine and cosine relationships,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Slow weighting,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Sound-level meter time weighting,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Source-load interaction,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Spanning tree,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Spatial averaging for system tuning,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Spectrograph,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Spherical coordinates,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Spinorama-style data,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Stage spill,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Statistical averages,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Subwoofer lobing,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Synchronization,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
System equalization versus room correction,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
System optimization under time constraints,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Target curves,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Temperature and humidity effects,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Thermal limiting,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Time averaging,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Tolerance,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Tonal balance versus flatness,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Transfer-function averaging,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Transformer taps,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Transmission-line behavior,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Transparent clocks,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Trigonometric functions,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Unbalanced signaling,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Under-balcony fills,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Unicast,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Uniformity,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Variable latency,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Variance,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Vector averaging,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Vectors,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Virtual local area networks,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Voltage sensitivity,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Voltage-divider effects,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Wavelet spectrogram,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Wind effects,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Windowing an impulse response,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Z-transforms,"Electronics, DSP & Measurement","Audio Electrical, Networking & Systems Concepts",NEW,Batch 5
Acoustic compression,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Acoustic holography,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Acoustic-power determination,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Acoustical metrology,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Active intensity,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Anechoic measurement,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Anechoic-room method,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Bicoherence,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Burst SPL,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Calibration correction,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Calibration hierarchy,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Coherence degradation,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Coherent distortion,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Combined standard uncertainty,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Community-noise equivalent level,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Comparison method,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Complex frequency response,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Compression-limited output,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Continuous power handling,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Coverage factor,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Coverage probability,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Crest-factor degradation,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Criterion level,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Current-limited output,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Day–night average sound level,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Decision rule,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Difference-frequency distortion,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Distortion residue,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Distortion spectrum,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Distortion-limited output,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Dual-channel measurement,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Dynamic intermodulation distortion,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Enveloping surface,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Event sound level,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Exceedance level,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Excess group delay,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Excess-phase response,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Exchange rate,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Excursion distortion,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Excursion-limited output,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Exponential time weighting,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Far-field measurement,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Farina harmonic separation,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Field reactivity,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Flux modulation distortion,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Fractional-octave-band level,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Full-space measurement,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Gated measurement,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Guard band,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
H1 estimator,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
H2 estimator,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Half-space measurement,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Hammerstein model,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Harmonic distortion profile,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Hemispherical measurement,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Higher-order harmonic distortion,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Higher-order impulse response,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Holographic measurement,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Hv estimator,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
Hysteresis error,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
IEC noise,"Electronics, DSP & Measurement",Measurement Fundamentals & Metering,EXISTING,Batch 4
